lookbacks,target_vol,max_leverage,cagr,max_dd,sharpe,profit_factor,trades,net,error
40/60/120/250,0.25,3.0,0.234012,49.344,0.8732,4.3995,31,18594.64,
40/60/120/250,0.45,5.4,0.363959,69.6219,0.8082,5.085,31,37156.89,
40/60/120/250,0.65,7.8,0.448539,81.1867,0.733,5.5455,31,53694.33,
15/30/60,0.25,3.0,0.145224,58.3128,0.5649,1.84,66,9690.24,
15/30/60,0.45,5.4,0.172553,81.196,0.4021,1.6811,66,12152.68,
15/30/60,0.65,7.8,0.122262,91.9484,0.2211,1.3918,66,7795.05,
20/40/80,0.25,3.0,0.204873,42.6498,0.8002,2.8424,41,15376.32,
20/40/80,0.45,5.4,0.307012,64.2263,0.7057,3.0246,41,28106.59,
20/40/80,0.65,7.8,0.327537,79.0682,0.5599,2.8084,41,31191.88,
30/60/120,0.25,3.0,0.186304,56.4537,0.6581,2.704,40,13481.51,
30/60/120,0.45,5.4,0.227238,79.1729,0.4941,2.5113,40,17818.88,
30/60/120,0.65,7.8,0.208543,90.9514,0.3353,2.174,40,15764.91,
10/20/40,0.25,3.0,0.101896,49.5852,0.4326,1.5528,76,6238.97,
10/20/40,0.45,5.4,0.138963,73.5165,0.3364,1.5349,76,9158.23,
10/20/40,0.65,7.8,0.097895,86.8866,0.1682,1.2995,76,5946.47,
20/60/120,0.25,3.0,0.145813,54.8629,0.5511,2.3249,40,9740.88,
20/60/120,0.45,5.4,0.174619,77.9334,0.4041,2.1513,40,12348.4,
20/60/120,0.65,7.8,0.170531,89.3756,0.2962,1.9679,40,11962.44,
