position_id,entry_time,exit_time,direction,lots,entry_price,exit_price,profit,commission,swap,net,forced_close,duration_days,safety_stop,score,leverage
163,2021-11-09 21:00:17,2021-11-24 21:00:17,LONG,0.16,1832.46,1788.08,-710.08,0.0,-141.47,-851.5500000000001,False,15.0,False,0.5,5.04
177,2021-12-08 21:00:17,2021-12-09 21:00:17,LONG,0.16,1785.695,1775.295,-166.4,0.0,-28.3,-194.70000000000002,False,1.0,False,0.5,5.35
187,2021-12-17 21:00:17,2021-12-22 21:00:17,LONG,0.19,1796.35,1804.83,161.12,0.0,-33.6,127.52000000000001,False,5.0,False,0.5,6.46
194,2021-12-27 21:00:17,2022-01-07 21:00:17,LONG,0.19,1812.8,1795.75,-323.95,0.0,-145.6,-469.54999999999995,False,11.0,False,0.5,6.6
199,2022-01-10 21:00:17,2022-01-17 21:00:17,LONG,0.17,1801.11,1818.74,299.71,0.0,-70.14,229.57,False,7.0,False,0.5,6.12
202,2022-01-18 21:00:17,2022-05-02 21:00:17,LONG,0.18,1813.92,1862.68,877.68,0.0,-1103.44,-225.7600000000001,False,104.0,False,1.0,6.41
540,2022-11-24 21:00:17,2023-02-21 21:00:17,LONG,0.11,1755.41,1834.63,871.42,0.0,-563.88,307.53999999999996,False,89.0,False,0.5,3.06
661,2023-02-22 21:00:17,2023-02-23 21:00:17,LONG,0.17,1824.93,1823.32,-27.37,0.0,-30.06,-57.43,False,1.0,False,0.5,4.2
681,2023-03-03 21:00:17,2023-03-08 21:00:17,LONG,0.26,1855.32,1813.31,-1092.26,0.0,-45.99,-1138.25,False,5.0,False,0.5,6.6
698,2023-03-13 21:00:17,2023-05-29 21:00:17,LONG,0.16,1913.72,1942.452,459.71,0.0,-726.22,-266.51000000000005,False,77.0,False,0.5,4.78
830,2023-06-01 21:00:17,2023-06-05 21:00:17,LONG,0.18,1977.78,1961.64,-290.52,0.0,-21.22,-311.74,False,4.0,False,0.5,5.4
840,2023-06-07 21:00:17,2023-06-08 21:00:17,LONG,0.16,1940.16,1965.44,404.48,0.0,-28.3,376.18,False,1.0,False,0.5,4.95
844,2023-06-09 21:00:17,2023-06-12 21:00:17,LONG,0.15,1960.88,1957.31,-53.55,0.0,-8.84,-62.39,False,3.0,False,0.5,4.51
847,2023-06-13 21:00:17,2023-06-14 21:00:17,LONG,0.18,1943.78,1941.69,-37.62,0.0,-10.61,-48.23,False,1.0,False,0.5,5.18
864,2023-07-13 21:00:17,2023-07-17 21:00:17,LONG,0.22,1960.58,1954.69,-129.58,0.0,-25.94,-155.52,False,4.0,False,0.5,6.6
867,2023-07-19 21:00:17,2023-07-24 21:00:17,LONG,0.22,1977.29,1954.64,-498.3,0.0,-64.85,-563.15,False,5.0,False,0.5,6.6
873,2023-07-25 21:00:17,2023-07-28 21:00:17,LONG,0.22,1965.18,1958.95,-137.06,0.0,-64.85,-201.91,False,3.0,False,0.5,6.6
877,2023-07-31 21:00:17,2023-08-02 21:00:17,LONG,0.2,1965.7,1934.66,-620.8,0.0,-23.58,-644.38,False,2.0,False,0.5,6.17
881,2023-08-07 21:00:17,2023-08-08 21:00:17,LONG,0.2,1936.75,1924.96,-235.8,0.0,-11.79,-247.59,False,1.0,False,0.5,6.6
923,2023-10-19 21:00:17,2024-01-25 21:00:17,LONG,0.1,1974.53,2020.02,454.9,0.0,-577.36,-122.46000000000004,False,98.0,False,0.5,3.51
1014,2024-01-26 21:00:17,2024-02-09 21:00:17,LONG,0.21,2018.67,2024.89,130.62,0.0,-173.32,-42.69999999999999,False,14.0,False,0.5,6.6
1068,2024-02-20 21:00:17,2024-02-22 21:00:17,LONG,0.19,2024.49,2024.565,1.43,0.0,-44.8,-43.37,False,2.0,False,0.5,6.6
1074,2024-02-26 21:00:17,2024-02-28 21:00:17,LONG,0.19,2032.52,2033.72,22.8,0.0,-22.4,0.40000000000000213,False,2.0,False,0.5,6.6
1082,2024-02-29 21:00:17,2024-06-18 21:00:17,LONG,0.19,2044.265,2329.28,5415.28,0.0,-1209.6,4205.68,False,110.0,False,0.5,6.6
1146,2024-06-19 21:00:17,2024-06-26 21:00:17,LONG,0.11,2328.5,2297.97,-335.83,0.0,-45.37,-381.2,False,7.0,False,0.5,3.3
1152,2024-07-03 21:00:17,2024-12-04 21:00:17,LONG,0.16,2356.32,2649.96,4698.24,0.0,-1452.44,3245.7999999999997,False,154.0,False,0.5,4.76
1291,2024-12-10 21:00:17,2024-12-19 21:00:17,LONG,0.11,2692.0,2596.77,-1047.53,0.0,-71.3,-1118.83,False,9.0,False,0.5,3.07
1309,2024-12-30 21:00:17,2025-01-07 21:00:17,LONG,0.14,2607.88,2650.39,595.14,0.0,-66.01,529.13,False,8.0,False,0.5,4.11
1346,2025-01-13 21:00:17,2025-07-31 21:00:17,LONG,0.24,2662.435,3290.055,15062.88,0.0,-2843.86,12219.019999999999,False,199.0,False,0.5,6.59
1544,2025-08-04 21:00:17,2025-08-20 21:00:17,LONG,0.21,3373.79,3348.37,-533.82,0.0,-198.08,-731.9000000000001,False,16.0,False,0.5,4.04
1555,2025-08-21 21:00:17,2026-03-23 21:00:17,LONG,0.23,3338.76,4405.11,24526.05,0.0,-2874.42,21651.629999999997,False,214.0,False,0.5,4.44
1678,2026-04-01 21:00:17,2026-04-02 06:08:40,LONG,0.1,4758.825,4565.141,-1936.84,0.0,-17.68,-1954.52,False,0.38082175925925926,True,0.5,1.74
1680,2026-04-02 21:00:17,2026-04-06 21:00:17,LONG,0.1,4676.445,4649.66,-267.85,0.0,-11.78,-279.63,False,4.0,False,0.5,1.73
1687,2026-04-15 21:00:17,2026-04-17 21:00:17,LONG,0.09,4790.95,4834.495,391.91,0.0,-21.23,370.68,False,2.0,False,0.5,1.67
1693,2026-04-20 21:00:17,2026-04-21 21:00:17,LONG,0.1,4820.96,4720.71,-1002.5,0.0,-5.89,-1008.39,False,1.0,False,0.5,1.82
