symbol,from_date,cagr,max_dd,sharpe,profit_factor,trades,net,error
XAUUSD,2021.01.01,0.410999,76.73,0.7627,5.2861,31,458626.78,
EURUSD,2021.01.01,-0.099236,62.8879,-0.5498,0.5008,27,-40678.77,
GBPUSD,2021.01.01,0.072735,39.4605,0.3645,1.4391,36,42022.55,
USDJPY,2021.01.01,0.258624,49.4055,0.8137,1.8913,31,215600.68,
USDCAD,2021.01.01,-0.160288,70.4046,-0.6749,0.5851,60,-58225.6,
USDCHF,2021.01.01,-0.086577,58.7568,-0.4842,0.6481,28,-36394.49,
AUDUSD,2021.01.01,-0.248722,81.2982,-1.711,0.1089,32,-76043.24,
NZDUSD,2021.01.01,-0.247964,78.1827,-2.1417,0.2348,29,-75922.22,
EURGBP,2022.11.04,-0.192387,50.4907,-1.219,0.1105,20,-49059.28,
EURJPY,2022.11.04,0.218516,48.5446,0.1558,3.8877,11,86615.17,
GBPJPY,2021.01.01,0.098336,59.3636,0.2637,1.3669,33,59785.05,
XAGUSD,2022.11.04,0.298307,66.2532,0.4357,2.6564,18,127983.46,
XTIUSD,2022.11.04,-0.288646,76.094,-1.7162,0.1661,19,-65874.97,
XNGUSD,2022.11.04,-0.482428,91.2467,-2.1838,0.0166,28,-87495.12,
US500Cash,2022.11.04,0.018924,5.6174,0.1369,2.0934,11,6096.55,
US100Cash,2022.11.04,0.068387,53.0348,0.1232,1.3657,16,23222.07,
US30Cash,2022.11.04,0.032132,52.14,0.0582,1.1063,17,10499.09,
GER40Cash,2022.11.10,0.065024,58.3732,0.1672,1.207,22,21875.84,
JPN225Cash,2022.11.04,0.002665,0.8548,0.8057,1.9575,29,843.72,
UK100Cash,2022.11.04,-0.323557,85.6659,-0.7993,0.3514,29,-70887.17,
XBRUSD,2022.11.04,,,,,,,market_closed_at_decision (retcode=10018 x162)
