position_id,entry_time,exit_time,direction,lots,entry_price,exit_price,profit,commission,swap,net,forced_close,duration_days,safety_stop,score,leverage
2,2021-09-14 21:00:17,2021-09-16 21:00:17,LONG,8.08,109.704,109.701,-22.1,0.0,294.98,272.88,False,2.0,False,0.5,6.6
4,2021-09-20 21:00:17,2021-09-21 21:00:17,LONG,8.12,109.457,109.21,-1836.5,0.0,74.13,-1762.37,False,1.0,False,0.5,6.6
6,2021-09-24 21:00:17,2022-11-14 21:00:17,LONG,7.85,110.761,139.677,162511.08,0.0,25862.56,188373.63999999998,False,416.0,False,1.0,6.6
8,2023-03-03 21:00:17,2023-03-21 21:00:17,LONG,23.84,135.839,132.445,-61091.74,0.0,2829.79,-58261.95,False,18.0,False,0.5,6.6
10,2023-03-22 21:00:17,2023-03-23 21:00:17,LONG,14.17,131.528,130.841,-7440.17,0.0,323.73,-7116.4400000000005,False,1.0,False,0.5,5.03
12,2023-05-01 21:00:17,2023-05-03 21:00:17,LONG,15.84,137.474,134.769,-31793.07,0.0,231.03,-31562.04,False,2.0,False,0.5,6.14
14,2023-05-16 21:00:17,2023-05-17 21:00:17,LONG,11.94,136.393,137.699,11324.44,0.0,87.44,11411.880000000001,False,1.0,False,0.5,5.2
16,2023-05-18 21:00:17,2023-07-13 21:00:17,LONG,12.33,138.719,138.043,-6038.03,0.0,4893.13,-1144.8999999999996,False,56.0,False,1.0,5.04
18,2023-07-19 21:00:17,2023-07-20 21:00:17,LONG,15.99,139.681,140.055,4269.94,0.0,343.28,4613.219999999999,False,1.0,False,0.5,6.6
20,2023-07-24 21:00:17,2023-07-28 21:00:17,LONG,14.22,141.496,141.163,-3354.46,0.0,607.12,-2747.34,False,4.0,False,0.5,5.73
22,2023-07-31 21:00:17,2023-08-10 21:00:17,LONG,11.35,142.278,144.745,19344.68,0.0,951.19,20295.87,False,10.0,False,0.5,4.63
24,2023-08-11 21:00:17,2023-11-29 21:00:17,LONG,14.04,144.957,147.299,22323.08,0.0,10201.16,32524.24,False,110.0,False,0.5,5.16
26,2023-12-01 21:00:17,2023-12-04 21:00:17,LONG,20.62,146.881,147.281,5600.18,0.0,140.3,5740.4800000000005,False,3.0,False,0.5,6.59
28,2024-01-17 21:00:17,2024-01-30 21:00:17,LONG,19.65,148.201,147.609,-7880.82,0.0,1725.14,-6155.679999999999,False,13.0,False,0.5,6.2
30,2024-01-31 21:00:17,2024-02-02 21:00:17,LONG,20.63,147.16,148.302,15886.14,0.0,561.32,16447.46,False,2.0,False,0.5,6.6
32,2024-02-05 21:00:17,2024-02-07 21:00:17,LONG,21.84,148.65,148.171,-7060.33,0.0,294.38,-6765.95,False,2.0,False,0.5,6.6
