ts_decision,event,scenario,level,d,atr,v,m,a,ctx_ema,ctx_vwap,ctx_dxy,vwap,ema50_h1,dxy,stop,target,r_est,fill_px,exit_px,exit_reason,cancel_reason
2022-11-04 01:00:00,ARM,,1630.000,-1,0.635194,-0.430315,-0.163608,-0.378146,1,-1,1,1630.176712,1635.795278,108.352285,,,,,,,
2022-11-04 01:10:00,CANCEL,,1630.000,-1,0.679479,0.117737,-0.225169,0.589417,1,-1,1,1630.197991,1635.795278,108.352285,,,,,,,zone
2022-11-04 03:20:00,ARM,,1640.000,1,0.964636,0.639274,1.313743,0.268677,1,1,-1,1631.850154,1635.744661,108.168036,,,,,,,
2022-11-04 03:35:00,CANCEL,,1640.000,1,0.898584,-0.237410,1.005530,-0.876684,1,1,-1,1632.180980,1635.744661,108.168036,,,,,,,zone
2022-11-04 07:00:00,ARM,,1650.000,1,1.385476,0.312769,0.295869,0.404579,1,1,-1,1636.933746,1637.129157,108.022083,,,,,,,
2022-11-04 07:05:00,CANCEL,,1650.000,1,1.358656,0.107950,0.223095,0.226614,1,1,-1,1637.041591,1637.129157,108.022083,,,,,,,zone
2022-11-04 08:05:00,ARM,,1650.000,1,1.467617,0.967555,0.072778,1.233953,1,1,-1,1637.976270,1637.433700,107.957045,,,,,,,
2022-11-04 08:20:00,CANCEL,,1650.000,1,1.389794,-0.166691,0.200441,-1.134246,1,1,-1,1638.235333,1637.433700,107.957045,,,,,,,zone
2022-11-04 12:05:00,ARM,,1650.000,-1,1.247558,-0.271196,-0.048592,-0.484941,-1,-1,1,1641.174059,1639.100122,107.839870,,,,,,,
2022-11-04 12:20:00,CANCEL,,1650.000,-1,1.267462,-0.247213,-0.587617,0.023983,-1,-1,1,1641.337428,1639.100122,107.839870,,,,,,,sweep
2022-11-04 13:55:00,ARM,,1670.000,1,2.763181,0.557932,0.809136,0.783814,1,1,1,1643.223099,1639.903647,107.246642,,,,,,,
2022-11-04 14:05:00,CANCEL,,1670.000,1,2.797743,0.544486,0.760447,0.368792,1,1,1,1643.480713,1640.979386,107.246642,,,,,,,sweep
2022-11-04 15:25:00,ARM,,1670.000,-1,2.376798,-0.368844,-0.063157,-0.364710,-1,-1,-1,1645.689841,1642.241763,107.129445,,,,,,,
2022-11-04 16:00:00,BREAK,BREAK_SHORT,1670.000,-1,2.215424,-0.562721,-0.693209,-0.750154,-1,-1,-1,1646.504109,1643.374635,106.570700,,,,,,,
2022-11-04 16:05:00,CANCEL,BREAK_SHORT,1670.000,-1,2.222894,-0.155953,-0.241548,-0.211151,-1,-1,-1,1646.610099,1643.374635,106.570700,,,,,,,hold
2022-11-04 18:40:00,ARM,,1680.000,1,1.330359,0.816822,1.054573,0.320365,1,1,1,1649.996078,1645.713895,106.753456,,,,,,,
2022-11-04 18:45:00,CANCEL,,1680.000,1,1.323905,0.156104,0.868922,-0.708052,1,1,1,1650.110093,1645.713895,106.753456,,,,,,,zone
2022-11-07 02:45:00,ARM,,1670.000,-1,1.258340,-0.392051,-0.584994,-0.699681,-1,1,-1,1673.209852,1652.294472,106.620694,,,,,,,
2022-11-07 02:50:00,CANCEL,,1670.000,-1,1.269172,-0.149704,-0.252471,-0.464888,-1,1,-1,1673.166304,1652.294472,106.620694,,,,,,,zone
