target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.25,16.0,0.04,6.0568,6.6635,1.1163,1.3721,4.8254,835,3763.31,5.432
0.25,16.0,0.005,6.346499999999999,6.746,1.0653,1.3535,4.6999,835,3968.73,5.432
0.25,16.0,0.065,3.8698,7.5744,0.8625,1.2784,2.7032,835,2290.47,5.432
0.25,16.0,0.045,5.5457,6.6787,1.0585,1.349,4.3916,835,3406.85,5.432
0.25,16.0,0.08,3.2495000000000003,6.8163,0.8444,1.2646,2.5348,835,1897.02,5.432
0.25,16.0,0.05,5.2571,6.7036,1.0375,1.3395,4.1336,835,3208.91,5.432
0.25,16.0,0.02,6.3723,6.7371,1.0718,1.3561,4.7377,835,3987.2,5.432
0.25,16.0,0.01,6.346499999999999,6.746,1.0653,1.3535,4.6999,835,3968.73,5.432
0.25,16.0,0.075,3.3485,7.1345,0.8323,1.2626,2.484,835,1959.1,5.432
0.25,16.0,0.03,6.442,6.7371,1.1226,1.3683,4.8364,835,4037.04,5.432
0.25,16.0,0.07,3.7725,7.2244,0.8842,1.2847,2.7708,835,2228.03,5.432
0.25,16.0,0.035,6.131,6.6621,1.086,1.3589,4.684,835,3815.71,5.432
0.25,16.0,0.055,4.7773,7.3334,0.9901,1.3242,3.4601,835,2885.12,5.432
0.25,16.0,0.015,6.346499999999999,6.746,1.0653,1.3535,4.6999,835,3968.73,5.432
0.25,16.0,0.025,6.2341,6.7104,1.0715,1.3505,4.6719,835,3888.72,5.432
0.25,16.0,0.06,4.3039000000000005,7.5844,0.9261,1.3003,3.0078,835,2572.07,5.432
0.25,32.0,0.08,3.2495000000000003,6.8163,0.8444,1.2646,2.5348,835,1897.02,5.432
0.25,32.0,0.01,5.5168,7.8409,0.9237,1.3045,4.0958,835,3386.93,5.432
0.25,32.0,0.07,3.7725,7.2244,0.8842,1.2847,2.7708,835,2228.03,5.432
0.25,32.0,0.02,6.3723,6.7371,1.0718,1.3561,4.7377,835,3987.2,5.432
0.25,32.0,0.005,5.5167,8.7153,0.9206,1.3044,3.7772,835,3386.88,5.432
0.25,32.0,0.025,6.2341,6.7104,1.0715,1.3505,4.6719,835,3888.72,5.432
0.25,32.0,0.05,5.2571,6.7036,1.0375,1.3395,4.1336,835,3208.91,5.432
0.25,32.0,0.04,6.0568,6.6635,1.1163,1.3721,4.8254,835,3763.31,5.432
0.25,32.0,0.075,3.3485,7.1345,0.8323,1.2626,2.484,835,1959.1,5.432
0.25,32.0,0.055,4.7773,7.3334,0.9901,1.3242,3.4601,835,2885.12,5.432
0.25,32.0,0.065,3.8698,7.5744,0.8625,1.2784,2.7032,835,2290.47,5.432
0.25,32.0,0.06,4.3039000000000005,7.5844,0.9261,1.3003,3.0078,835,2572.07,5.432
0.25,32.0,0.015,5.6756,6.7031,0.9609,1.3155,4.3171,835,3496.71,5.432
