target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.25,16.0,0.065,6.626600000000001,5.6209,1.4376,1.5197,4.3576,585,2873.82,3.937
0.25,16.0,0.08,5.5297,4.8781,1.424,1.4978,4.2531,585,2360.26,3.937
0.25,16.0,0.03,9.393899999999999,7.6983,1.5393,1.5893,4.1514,585,4240.23,3.937
0.25,16.0,0.075,6.0499,5.0526,1.4642,1.5242,4.4849,585,2601.87,3.937
0.25,16.0,0.07,6.343400000000001,5.4044,1.4409,1.5199,4.3804,585,2739.71,3.937
0.25,16.0,0.025,9.2113,7.6951,1.4975,1.5637,4.0727,585,4146.86,3.937
0.25,16.0,0.045,8.9073,6.0651,1.6591,1.6261,5.1591,585,3992.49,3.937
0.25,16.0,0.04,9.3198,6.7357,1.65,1.6285,4.7975,585,4202.3,3.937
0.25,16.0,0.055,7.391699999999999,5.7594,1.4935,1.5352,4.5846,585,3241.35,3.937
0.25,16.0,0.02,9.2415,7.4727,1.4746,1.5664,4.1982,585,4162.27,3.937
0.25,16.0,0.015,9.4008,7.5079,1.5141,1.5733,4.2393,585,4243.77,3.937
0.25,16.0,0.005,9.4008,7.5079,1.5141,1.5733,4.2393,585,4243.77,3.937
0.25,16.0,0.05,8.3277,5.9743,1.5968,1.592,4.9059,585,3701.56,3.937
0.25,16.0,0.06,7.1209999999999996,5.6898,1.485,1.5389,4.6527,585,3110.44,3.937
0.25,16.0,0.035,9.833400000000001,6.926,1.6779,1.6462,4.8541,585,4466.78,3.937
0.25,32.0,0.08,5.5297,4.8781,1.424,1.4978,4.2531,585,2360.26,3.937
0.25,32.0,0.07,6.343400000000001,5.4044,1.4409,1.5199,4.3804,585,2739.71,3.937
0.25,32.0,0.04,9.3198,6.7357,1.65,1.6285,4.7975,585,4202.3,3.937
0.25,32.0,0.045,8.9073,6.0651,1.6591,1.6261,5.1591,585,3992.49,3.937
0.25,32.0,0.065,6.626600000000001,5.6209,1.4376,1.5197,4.3576,585,2873.82,3.937
0.25,32.0,0.06,7.1209999999999996,5.6898,1.485,1.5389,4.6527,585,3110.44,3.937
0.25,32.0,0.075,6.0499,5.0526,1.4642,1.5242,4.4849,585,2601.87,3.937
0.25,32.0,0.03,9.393899999999999,7.6983,1.5393,1.5893,4.1514,585,4240.23,3.937
0.25,32.0,0.005,10.0977,7.4913,1.5688,1.6166,4.4976,585,4604.34,3.937
0.25,32.0,0.01,10.058499999999999,7.4815,1.5844,1.6179,4.5063,585,4583.88,3.937
0.25,32.0,0.025,9.2113,7.6951,1.4975,1.5637,4.0727,585,4146.86,3.937
0.25,32.0,0.05,8.3277,5.9743,1.5968,1.592,4.9059,585,3701.56,3.937
0.25,32.0,0.015,9.6006,7.496,1.5303,1.5878,4.3188,585,4346.44,3.937
0.25,32.0,0.035,9.833400000000001,6.926,1.6779,1.6462,4.8541,585,4466.78,3.937
0.25,32.0,0.02,9.2415,7.4727,1.4746,1.5664,4.1982,585,4162.27,3.937
0.25,32.0,0.055,7.391699999999999,5.7594,1.4935,1.5352,4.5846,585,3241.35,3.937
0.25,48.0,0.065,6.626600000000001,5.6209,1.4376,1.5197,4.3576,585,2873.82,3.937
0.25,48.0,0.08,5.5297,4.8781,1.424,1.4978,4.2531,585,2360.26,3.937
0.25,48.0,0.045,8.9073,6.0651,1.6591,1.6261,5.1591,585,3992.49,3.937
0.25,48.0,0.04,9.3198,6.7357,1.65,1.6285,4.7975,585,4202.3,3.937
0.25,48.0,0.025,9.2113,7.6951,1.4975,1.5637,4.0727,585,4146.86,3.937
0.25,48.0,0.03,9.393899999999999,7.6983,1.5393,1.5893,4.1514,585,4240.23,3.937
0.25,48.0,0.07,6.343400000000001,5.4044,1.4409,1.5199,4.3804,585,2739.71,3.937
0.25,48.0,0.06,7.1209999999999996,5.6898,1.485,1.5389,4.6527,585,3110.44,3.937
0.25,48.0,0.005,10.1474,7.4776,1.5557,1.618,4.523,585,4630.34,3.937
0.25,48.0,0.015,9.6006,7.496,1.5303,1.5878,4.3188,585,4346.44,3.937
0.25,48.0,0.035,9.833400000000001,6.926,1.6779,1.6462,4.8541,585,4466.78,3.937
0.25,48.0,0.075,6.0499,5.0526,1.4642,1.5242,4.4849,585,2601.87,3.937
0.25,48.0,0.05,8.3277,5.9743,1.5968,1.592,4.9059,585,3701.56,3.937
0.25,48.0,0.055,7.391699999999999,5.7594,1.4935,1.5352,4.5846,585,3241.35,3.937
0.25,48.0,0.02,9.2415,7.4727,1.4746,1.5664,4.1982,585,4162.27,3.937
0.25,48.0,0.01,10.058499999999999,7.4815,1.5844,1.6179,4.5063,585,4583.88,3.937
0.25,64.0,0.06,7.1209999999999996,5.6898,1.485,1.5389,4.6527,585,3110.44,3.937
0.25,64.0,0.055,7.391699999999999,5.7594,1.4935,1.5352,4.5846,585,3241.35,3.937
0.25,64.0,0.01,10.058499999999999,7.4815,1.5844,1.6179,4.5063,585,4583.88,3.937
0.25,64.0,0.07,6.343400000000001,5.4044,1.4409,1.5199,4.3804,585,2739.71,3.937
0.25,64.0,0.075,6.0499,5.0526,1.4642,1.5242,4.4849,585,2601.87,3.937
0.25,64.0,0.065,6.626600000000001,5.6209,1.4376,1.5197,4.3576,585,2873.82,3.937
0.25,64.0,0.08,5.5297,4.8781,1.424,1.4978,4.2531,585,2360.26,3.937
0.25,64.0,0.045,8.9073,6.0651,1.6591,1.6261,5.1591,585,3992.49,3.937
0.25,64.0,0.005,10.0837,7.4938,1.5495,1.6137,4.4904,585,4597.03,3.937
0.25,64.0,0.05,8.3277,5.9743,1.5968,1.592,4.9059,585,3701.56,3.937
0.25,64.0,0.03,9.393899999999999,7.6983,1.5393,1.5893,4.1514,585,4240.23,3.937
0.25,64.0,0.015,9.6006,7.496,1.5303,1.5878,4.3188,585,4346.44,3.937
0.25,64.0,0.025,9.2113,7.6951,1.4975,1.5637,4.0727,585,4146.86,3.937
0.25,64.0,0.035,9.833400000000001,6.926,1.6779,1.6462,4.8541,585,4466.78,3.937
0.25,64.0,0.04,9.3198,6.7357,1.65,1.6285,4.7975,585,4202.3,3.937
0.25,64.0,0.02,9.2415,7.4727,1.4746,1.5664,4.1982,585,4162.27,3.937
0.25,80.0,0.055,7.391699999999999,5.7594,1.4935,1.5352,4.5846,585,3241.35,3.937
0.25,80.0,0.01,10.058499999999999,7.4815,1.5844,1.6179,4.5063,585,4583.88,3.937
0.25,80.0,0.075,6.0499,5.0526,1.4642,1.5242,4.4849,585,2601.87,3.937
0.25,80.0,0.045,8.9073,6.0651,1.6591,1.6261,5.1591,585,3992.49,3.937
0.25,80.0,0.005,10.0837,7.4938,1.5495,1.6137,4.4904,585,4597.03,3.937
0.25,80.0,0.07,6.343400000000001,5.4044,1.4409,1.5199,4.3804,585,2739.71,3.937
0.25,80.0,0.06,7.1209999999999996,5.6898,1.485,1.5389,4.6527,585,3110.44,3.937
0.25,80.0,0.065,6.626600000000001,5.6209,1.4376,1.5197,4.3576,585,2873.82,3.937
0.25,80.0,0.015,9.6006,7.496,1.5303,1.5878,4.3188,585,4346.44,3.937
0.25,80.0,0.035,9.833400000000001,6.926,1.6779,1.6462,4.8541,585,4466.78,3.937
0.25,80.0,0.025,9.2113,7.6951,1.4975,1.5637,4.0727,585,4146.86,3.937
0.25,80.0,0.08,5.5297,4.8781,1.424,1.4978,4.2531,585,2360.26,3.937
0.25,80.0,0.02,9.2415,7.4727,1.4746,1.5664,4.1982,585,4162.27,3.937
0.25,80.0,0.03,9.393899999999999,7.6983,1.5393,1.5893,4.1514,585,4240.23,3.937
0.25,80.0,0.05,8.3277,5.9743,1.5968,1.592,4.9059,585,3701.56,3.937
0.25,80.0,0.04,9.3198,6.7357,1.65,1.6285,4.7975,585,4202.3,3.937
0.5,16.0,0.08,10.3483,8.6278,1.4435,1.5217,4.3031,585,4735.67,3.937
0.5,16.0,0.065,12.364,8.7964,1.579,1.5872,4.7329,585,5824.14,3.937
0.5,16.0,0.01,13.273299999999999,10.5792,1.4633,1.5538,4.0342,585,6334.33,3.937
0.5,16.0,0.07,12.0669,8.225,1.5771,1.5867,4.9802,585,5660.05,3.937
0.5,16.0,0.03,13.273299999999999,10.5792,1.4633,1.5538,4.0342,585,6334.33,3.937
0.5,16.0,0.075,11.1997,8.201,1.5083,1.5507,4.6878,585,5188.39,3.937
0.5,16.0,0.025,13.273299999999999,10.5792,1.4633,1.5538,4.0342,585,6334.33,3.937
0.5,16.0,0.04,12.7572,10.6719,1.4335,1.5362,3.89,585,6043.3,3.937
0.5,16.0,0.045,13.2046,10.708,1.5018,1.5655,4.0061,585,6295.39,3.937
0.5,16.0,0.02,13.273299999999999,10.5792,1.4633,1.5538,4.0342,585,6334.33,3.937
0.5,16.0,0.06,13.1216,8.8118,1.629,1.6206,4.9732,585,6248.39,3.937
0.5,16.0,0.005,13.273299999999999,10.5792,1.4633,1.5538,4.0342,585,6334.33,3.937
0.5,16.0,0.035,13.097800000000001,10.5603,1.4639,1.5491,4.0046,585,6234.96,3.937
0.5,16.0,0.05,14.0839,9.8172,1.6453,1.6269,4.6585,585,6799.43,3.937
0.5,16.0,0.015,13.273299999999999,10.5792,1.4633,1.5538,4.0342,585,6334.33,3.937
0.5,16.0,0.055,13.461799999999998,9.4574,1.6123,1.6115,4.6957,585,6441.64,3.937
0.5,32.0,0.08,10.3483,8.6278,1.4435,1.5217,4.3031,585,4735.67,3.937
0.5,32.0,0.07,12.0669,8.225,1.5771,1.5867,4.9802,585,5660.05,3.937
0.5,32.0,0.04,12.7572,10.6719,1.4335,1.5362,3.89,585,6043.3,3.937
0.5,32.0,0.045,13.2046,10.708,1.5018,1.5655,4.0061,585,6295.39,3.937
0.5,32.0,0.06,13.1216,8.8118,1.629,1.6206,4.9732,585,6248.39,3.937
0.5,32.0,0.065,12.364,8.7964,1.579,1.5872,4.7329,585,5824.14,3.937
0.5,32.0,0.005,13.8857,10.5005,1.5129,1.5804,4.2066,585,6684.77,3.937
0.5,32.0,0.03,13.2851,10.5773,1.4612,1.5546,4.0385,585,6341.05,3.937
0.5,32.0,0.075,11.1997,8.201,1.5083,1.5507,4.6878,585,5188.39,3.937
0.5,32.0,0.01,13.8857,10.5005,1.5129,1.5804,4.2066,585,6684.77,3.937
0.5,32.0,0.015,13.8857,10.5005,1.5129,1.5804,4.2066,585,6684.77,3.937
0.5,32.0,0.025,13.3278,10.5735,1.4586,1.5574,4.054,585,6365.3,3.937
0.5,32.0,0.05,14.0839,9.8172,1.6453,1.6269,4.6585,585,6799.43,3.937
0.5,32.0,0.02,13.586400000000001,10.5375,1.4802,1.5709,4.1436,585,6512.84,3.937
0.5,32.0,0.035,13.097800000000001,10.5603,1.4639,1.5491,4.0046,585,6234.96,3.937
0.5,32.0,0.055,13.461799999999998,9.4574,1.6123,1.6115,4.6957,585,6441.64,3.937
0.5,48.0,0.065,12.364,8.7964,1.579,1.5872,4.7329,585,5824.14,3.937
0.5,48.0,0.045,13.2046,10.708,1.5018,1.5655,4.0061,585,6295.39,3.937
0.5,48.0,0.08,10.3483,8.6278,1.4435,1.5217,4.3031,585,4735.67,3.937
0.5,48.0,0.025,13.3278,10.5735,1.4586,1.5574,4.054,585,6365.3,3.937
0.5,48.0,0.04,12.7572,10.6719,1.4335,1.5362,3.89,585,6043.3,3.937
0.5,48.0,0.06,13.1216,8.8118,1.629,1.6206,4.9732,585,6248.39,3.937
0.5,48.0,0.03,13.2851,10.5773,1.4612,1.5546,4.0385,585,6341.05,3.937
0.5,48.0,0.07,12.0669,8.225,1.5771,1.5867,4.9802,585,5660.05,3.937
0.5,48.0,0.005,14.657899999999998,10.4713,1.5622,1.6066,4.3873,585,7134.64,3.937
0.5,48.0,0.035,13.097800000000001,10.5603,1.4639,1.5491,4.0046,585,6234.96,3.937
0.5,48.0,0.015,13.886999999999999,10.5,1.5101,1.5804,4.2071,585,6685.57,3.937
0.5,48.0,0.05,14.0839,9.8172,1.6453,1.6269,4.6585,585,6799.43,3.937
0.5,48.0,0.075,11.1997,8.201,1.5083,1.5507,4.6878,585,5188.39,3.937
0.5,48.0,0.055,13.461799999999998,9.4574,1.6123,1.6115,4.6957,585,6441.64,3.937
0.5,48.0,0.02,13.586400000000001,10.5375,1.4802,1.5709,4.1436,585,6512.84,3.937
0.5,48.0,0.01,14.657899999999998,10.4713,1.5622,1.6066,4.3873,585,7134.64,3.937
0.5,64.0,0.055,13.461799999999998,9.4574,1.6123,1.6115,4.6957,585,6441.64,3.937
0.5,64.0,0.07,12.0669,8.225,1.5771,1.5867,4.9802,585,5660.05,3.937
0.5,64.0,0.06,13.1216,8.8118,1.629,1.6206,4.9732,585,6248.39,3.937
0.5,64.0,0.01,14.8302,10.358,1.5802,1.6153,4.4794,585,7236.25,3.937
0.5,64.0,0.075,11.1997,8.201,1.5083,1.5507,4.6878,585,5188.39,3.937
0.5,64.0,0.065,12.364,8.7964,1.579,1.5872,4.7329,585,5824.14,3.937
0.5,64.0,0.045,13.2046,10.708,1.5018,1.5655,4.0061,585,6295.39,3.937
0.5,64.0,0.08,10.3483,8.6278,1.4435,1.5217,4.3031,585,4735.67,3.937
0.5,64.0,0.005,14.9901,10.3165,1.5715,1.6222,4.5382,585,7330.92,3.937
0.5,64.0,0.03,13.2851,10.5773,1.4612,1.5546,4.0385,585,6341.05,3.937
0.5,64.0,0.05,14.0839,9.8172,1.6453,1.6269,4.6585,585,6799.43,3.937
0.5,64.0,0.025,13.3278,10.5735,1.4586,1.5574,4.054,585,6365.3,3.937
0.5,64.0,0.015,13.886999999999999,10.5,1.5101,1.5804,4.2071,585,6685.57,3.937
0.5,64.0,0.035,13.097800000000001,10.5603,1.4639,1.5491,4.0046,585,6234.96,3.937
0.5,64.0,0.02,13.586400000000001,10.5375,1.4802,1.5709,4.1436,585,6512.84,3.937
0.5,64.0,0.04,12.7572,10.6719,1.4335,1.5362,3.89,585,6043.3,3.937
0.5,80.0,0.055,13.461799999999998,9.4574,1.6123,1.6115,4.6957,585,6441.64,3.937
0.5,80.0,0.075,11.1997,8.201,1.5083,1.5507,4.6878,585,5188.39,3.937
0.5,80.0,0.045,13.2046,10.708,1.5018,1.5655,4.0061,585,6295.39,3.937
0.5,80.0,0.01,14.8302,10.358,1.5802,1.6153,4.4794,585,7236.25,3.937
0.5,80.0,0.005,14.6885,10.4632,1.5507,1.6077,4.3984,585,7152.67,3.937
0.5,80.0,0.06,13.1216,8.8118,1.629,1.6206,4.9732,585,6248.39,3.937
0.5,80.0,0.07,12.0669,8.225,1.5771,1.5867,4.9802,585,5660.05,3.937
0.5,80.0,0.015,13.886999999999999,10.5,1.5101,1.5804,4.2071,585,6685.57,3.937
0.5,80.0,0.035,13.097800000000001,10.5603,1.4639,1.5491,4.0046,585,6234.96,3.937
0.5,80.0,0.065,12.364,8.7964,1.579,1.5872,4.7329,585,5824.14,3.937
0.5,80.0,0.025,13.3278,10.5735,1.4586,1.5574,4.054,585,6365.3,3.937
0.5,80.0,0.02,13.586400000000001,10.5375,1.4802,1.5709,4.1436,585,6512.84,3.937
0.5,80.0,0.08,10.3483,8.6278,1.4435,1.5217,4.3031,585,4735.67,3.937
0.5,80.0,0.04,12.7572,10.6719,1.4335,1.5362,3.89,585,6043.3,3.937
0.5,80.0,0.05,14.0839,9.8172,1.6453,1.6269,4.6585,585,6799.43,3.937
0.5,80.0,0.03,13.2851,10.5773,1.4612,1.5546,4.0385,585,6341.05,3.937
0.75,16.0,0.08,15.593099999999998,10.8713,1.5849,1.5865,4.6308,585,7691.5,3.937
0.75,16.0,0.07,16.5884,11.4593,1.6053,1.608,4.6142,585,8298.88,3.937
0.75,16.0,0.065,17.005300000000002,11.6757,1.6098,1.6095,4.5914,585,8557.83,3.937
0.75,16.0,0.01,16.2318,12.7098,1.4623,1.5398,3.9507,585,8079.47,3.937
0.75,16.0,0.075,16.470000000000002,10.9039,1.6365,1.6122,4.8241,585,8225.78,3.937
0.75,16.0,0.03,16.2318,12.7098,1.4623,1.5398,3.9507,585,8079.47,3.937
0.75,16.0,0.04,16.2318,12.7098,1.4623,1.5398,3.9507,585,8079.47,3.937
0.75,16.0,0.045,16.2318,12.7098,1.4623,1.5398,3.9507,585,8079.47,3.937
0.75,16.0,0.06,16.831,12.0147,1.5568,1.5916,4.406,585,8449.22,3.937
0.75,16.0,0.025,16.2318,12.7098,1.4623,1.5398,3.9507,585,8079.47,3.937
0.75,16.0,0.005,16.2318,12.7098,1.4623,1.5398,3.9507,585,8079.47,3.937
0.75,16.0,0.02,16.2318,12.7098,1.4623,1.5398,3.9507,585,8079.47,3.937
0.75,16.0,0.015,16.2318,12.7098,1.4623,1.5398,3.9507,585,8079.47,3.937
0.75,16.0,0.05,16.3519,13.0159,1.4783,1.5426,3.8695,585,8153.17,3.937
0.75,16.0,0.055,16.6886,12.7545,1.5099,1.5711,4.0685,585,8360.83,3.937
0.75,16.0,0.035,16.2318,12.7098,1.4623,1.5398,3.9507,585,8079.47,3.937
0.75,32.0,0.08,15.593099999999998,10.8713,1.5849,1.5865,4.6308,585,7691.5,3.937
0.75,32.0,0.06,16.831,12.0147,1.5568,1.5916,4.406,585,8449.22,3.937
0.75,32.0,0.07,16.5884,11.4593,1.6053,1.608,4.6142,585,8298.88,3.937
0.75,32.0,0.04,16.7709,12.8802,1.482,1.5542,3.9866,585,8411.92,3.937
0.75,32.0,0.045,16.4415,12.808,1.473,1.5474,3.968,585,8208.27,3.937
0.75,32.0,0.03,16.738,12.876,1.4638,1.5524,3.9815,585,8391.46,3.937
0.75,32.0,0.005,16.8785,12.8402,1.4771,1.556,4.0081,585,8478.8,3.937
0.75,32.0,0.065,17.005300000000002,11.6757,1.6098,1.6095,4.5914,585,8557.83,3.937
0.75,32.0,0.075,16.470000000000002,10.9039,1.6365,1.6122,4.8241,585,8225.78,3.937
0.75,32.0,0.015,16.8785,12.8402,1.4771,1.556,4.0081,585,8478.8,3.937
0.75,32.0,0.025,16.8669,12.841,1.4765,1.5563,4.0047,585,8471.57,3.937
0.75,32.0,0.02,16.8785,12.8402,1.4771,1.556,4.0081,585,8478.8,3.937
0.75,32.0,0.035,16.7731,12.8733,1.4717,1.554,3.9918,585,8413.24,3.937
0.75,32.0,0.01,16.8785,12.8402,1.4771,1.556,4.0081,585,8478.8,3.937
0.75,32.0,0.05,16.3519,13.0159,1.4783,1.5426,3.8695,585,8153.17,3.937
0.75,32.0,0.055,16.6886,12.7545,1.5099,1.5711,4.0685,585,8360.83,3.937
0.75,48.0,0.065,17.005300000000002,11.6757,1.6098,1.6095,4.5914,585,8557.83,3.937
0.75,48.0,0.045,16.4415,12.808,1.473,1.5474,3.968,585,8208.27,3.937
0.75,48.0,0.08,15.593099999999998,10.8713,1.5849,1.5865,4.6308,585,7691.5,3.937
0.75,48.0,0.04,16.7709,12.8802,1.482,1.5542,3.9866,585,8411.92,3.937
