target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.25,16.0,0.05,3.1828000000000003,3.6376,0.7615,1.3298,1.2828,201,478.62,1.492
0.25,16.0,0.065,2.8535,3.8911,0.7859,1.3523,1.0763,201,428.75,1.492
0.25,16.0,0.045,3.1139,3.6171,0.7187,1.302,1.2643,201,468.18,1.492
0.25,16.0,0.075,2.828,3.2844,0.8625,1.3812,1.266,201,424.89,1.492
0.25,16.0,0.035,4.4365000000000006,3.5665,0.9451,1.3768,1.8269,201,669.16,1.492
0.25,16.0,0.055,3.1601,3.8476,0.7805,1.3479,1.2036,201,475.17,1.492
0.25,16.0,0.06,3.048,3.8437,0.7994,1.3577,1.1631,201,458.2,1.492
0.25,16.0,0.015,5.5401,3.2743,1.086,1.446,2.2953,201,837.82,1.492
0.25,16.0,0.03,5.3447000000000005,3.2598,1.0876,1.4284,2.4105,201,807.89,1.492
0.25,16.0,0.07,2.7708,3.7649,0.7901,1.3521,1.0798,201,416.24,1.492
0.25,16.0,0.01,5.5401,3.2743,1.086,1.446,2.2953,201,837.82,1.492
0.25,16.0,0.025,5.3709,3.1273,1.0737,1.4298,2.3436,201,811.9,1.492
0.25,16.0,0.005,5.5401,3.2743,1.086,1.446,2.2953,201,837.82,1.492
0.25,16.0,0.02,5.4645,3.1839,1.076,1.4377,2.338,201,826.24,1.492
0.25,16.0,0.04,4.1693,3.3374,0.9125,1.3719,1.8028,201,628.45,1.492
0.25,16.0,0.08,2.8346,3.0694,0.9059,1.3978,1.3585,201,425.89,1.492
0.25,32.0,0.015,5.5401,3.2743,1.086,1.446,2.2953,201,837.82,1.492
0.25,32.0,0.06,3.048,3.8437,0.7994,1.3577,1.1631,201,458.2,1.492
0.25,32.0,0.04,4.1693,3.3374,0.9125,1.3719,1.8028,201,628.45,1.492
0.25,32.0,0.055,3.1601,3.8476,0.7805,1.3479,1.2036,201,475.17,1.492
0.25,32.0,0.065,2.8535,3.8911,0.7859,1.3523,1.0763,201,428.75,1.492
0.25,32.0,0.02,5.4645,3.1839,1.076,1.4377,2.338,201,826.24,1.492
0.25,32.0,0.08,2.8346,3.0694,0.9059,1.3978,1.3585,201,425.89,1.492
0.25,32.0,0.025,5.3709,3.1273,1.0737,1.4298,2.3436,201,811.9,1.492
0.25,32.0,0.075,2.828,3.2844,0.8625,1.3812,1.266,201,424.89,1.492
0.25,32.0,0.05,3.1828000000000003,3.6376,0.7615,1.3298,1.2828,201,478.62,1.492
0.25,32.0,0.045,3.1139,3.6171,0.7187,1.302,1.2643,201,468.18,1.492
0.25,32.0,0.035,4.4365000000000006,3.5665,0.9451,1.3768,1.8269,201,669.16,1.492
0.25,32.0,0.005,5.625,3.2705,1.1057,1.4544,2.331,201,850.83,1.492
0.25,32.0,0.03,5.3447000000000005,3.2598,1.0876,1.4284,2.4105,201,807.89,1.492
0.25,32.0,0.07,2.7708,3.7649,0.7901,1.3521,1.0798,201,416.24,1.492
0.25,32.0,0.01,5.625,3.2705,1.1057,1.4544,2.331,201,850.83,1.492
0.25,48.0,0.015,5.5401,3.2743,1.086,1.446,2.2953,201,837.82,1.492
0.25,48.0,0.065,2.8535,3.8911,0.7859,1.3523,1.0763,201,428.75,1.492
0.25,48.0,0.055,3.1601,3.8476,0.7805,1.3479,1.2036,201,475.17,1.492
0.25,48.0,0.025,5.3709,3.1273,1.0737,1.4298,2.3436,201,811.9,1.492
0.25,48.0,0.06,3.048,3.8437,0.7994,1.3577,1.1631,201,458.2,1.492
0.25,48.0,0.02,5.4645,3.1839,1.076,1.4377,2.338,201,826.24,1.492
0.25,48.0,0.045,3.1139,3.6171,0.7187,1.302,1.2643,201,468.18,1.492
0.25,48.0,0.04,4.1693,3.3374,0.9125,1.3719,1.8028,201,628.45,1.492
0.25,48.0,0.035,4.4365000000000006,3.5665,0.9451,1.3768,1.8269,201,669.16,1.492
0.25,48.0,0.08,2.8346,3.0694,0.9059,1.3978,1.3585,201,425.89,1.492
0.25,48.0,0.03,5.3447000000000005,3.2598,1.0876,1.4284,2.4105,201,807.89,1.492
0.25,48.0,0.01,5.625,3.2705,1.1057,1.4544,2.331,201,850.83,1.492
0.25,48.0,0.05,3.1828000000000003,3.6376,0.7615,1.3298,1.2828,201,478.62,1.492
0.25,48.0,0.07,2.7708,3.7649,0.7901,1.3521,1.0798,201,416.24,1.492
0.25,48.0,0.005,5.625,3.2705,1.1057,1.4544,2.331,201,850.83,1.492
0.25,64.0,0.02,5.4645,3.1839,1.076,1.4377,2.338,201,826.24,1.492
0.25,64.0,0.025,5.3709,3.1273,1.0737,1.4298,2.3436,201,811.9,1.492
0.25,64.0,0.07,2.7708,3.7649,0.7901,1.3521,1.0798,201,416.24,1.492
0.25,64.0,0.065,2.8535,3.8911,0.7859,1.3523,1.0763,201,428.75,1.492
0.25,64.0,0.045,3.1139,3.6171,0.7187,1.302,1.2643,201,468.18,1.492
0.25,64.0,0.05,3.1828000000000003,3.6376,0.7615,1.3298,1.2828,201,478.62,1.492
0.25,64.0,0.015,5.5401,3.2743,1.086,1.446,2.2953,201,837.82,1.492
0.25,64.0,0.04,4.1693,3.3374,0.9125,1.3719,1.8028,201,628.45,1.492
0.25,64.0,0.08,2.8346,3.0694,0.9059,1.3978,1.3585,201,425.89,1.492
0.25,64.0,0.01,5.625,3.2705,1.1057,1.4544,2.331,201,850.83,1.492
