alloc_label,fold,from,to,years,sharpe,cagr_pct,net_profit,max_dd_pct,trades
baseline,fold1_is,2020.11.23,2021.10.31,0.9363449691991786,0.78,2.627812481435665,245.85,2.02,77.0
baseline,fold1_oos,2021.11.01,2022.10.31,0.9965776865160849,1.57,11.947329795735406,1190.41,5.98,186.0
baseline,fold2_is,2020.11.23,2022.10.31,1.9356605065023955,1.36,8.43621864563251,1697.3,5.72,263.0
baseline,fold2_oos,2022.11.01,2023.10.31,0.9965776865160849,0.98,5.593867867913915,557.42,4.94,202.0
baseline,fold3_is,2020.11.23,2023.10.31,2.9349760438056127,1.25,8.110136430953352,2571.79,6.55,463.0
baseline,fold3_oos,2023.11.01,2024.10.31,0.999315537303217,2.06,14.790337167323964,1477.95,4.06,169.0
baseline,fold4_is,2020.11.23,2024.10.31,3.9370294318959616,1.25,8.216992399010037,3646.53,7.21,630.0
baseline,fold4_oos,2024.11.01,2025.10.31,0.9965776865160849,1.5,8.308279248159224,827.87,4.22,159.0
baseline,fold5_is,2020.11.23,2025.10.31,4.936344969199179,1.32,8.556183161108288,4996.96,7.21,788.0
baseline,fold5_oos,2025.11.01,2026.04.30,0.4928131416837782,-0.49,-1.8304578631477497,-90.63,3.73,47.0
mr_heavy,fold1_is,2020.11.23,2021.10.31,0.9363449691991786,0.54,1.1803486012480935,110.48,1.71,77.0
mr_heavy,fold1_oos,2021.11.01,2022.10.31,0.9965776865160849,1.58,12.854395629530412,1280.77,6.0,186.0
mr_heavy,fold2_is,2020.11.23,2022.10.31,1.9356605065023955,1.2,7.098013356272426,1419.49,6.09,263.0
mr_heavy,fold2_oos,2022.11.01,2023.10.31,0.9965776865160849,0.69,3.860261924838415,384.68,5.7,202.0
mr_heavy,fold3_is,2020.11.23,2023.10.31,2.9349760438056127,1.11,6.959801799150411,2183.21,7.22,463.0
mr_heavy,fold3_oos,2023.11.01,2024.10.31,0.999315537303217,2.58,22.02232211737114,2200.57,3.41,169.0
mr_heavy,fold4_is,2020.11.23,2024.10.31,3.9370294318959616,1.23,8.392114128748162,3733.68,7.46,630.0
mr_heavy,fold4_oos,2024.11.01,2025.10.31,0.9965776865160849,1.37,7.211947856075662,718.64,4.75,159.0
mr_heavy,fold5_is,2020.11.23,2025.10.31,4.936344969199179,1.24,8.196785937749063,4753.46,7.46,788.0
mr_heavy,fold5_oos,2025.11.01,2026.04.30,0.4928131416837782,-1.16,-2.9451256419681715,-146.24,3.13,47.0
