pair,sleeve,from_date,to_date,sharpe,net_profit,trades,equity_dd_pct,profit_factor,recovery_factor
USDCHF,TS,2020.11.23,2026.04.30,-0.07,-775.64,2,15.1,0.0,-0.47
USDCHF,RSI,2020.11.23,2026.04.30,-0.13,-1199.1,2,15.03,0.0,-0.77
AUDUSD,TS,2020.11.23,2026.04.30,-0.19,-814.94,2,15.03,0.0,-0.5
AUDUSD,RSI,2020.11.23,2026.04.30,0.14,5696.66,3,15.05,348.57,2.05
NZDUSD,TS,2020.11.23,2026.04.30,-0.13,-996.77,7,15.01,0.17,-0.63
NZDUSD,RSI,2020.11.23,2026.04.30,0.06,1671.99,3,15.26,2.54,0.8
EURGBP,TS,2022.11.05,2026.04.30,0.28,431.3,28,15.18,1.13,0.23
EURGBP,RSI,2022.11.05,2026.04.30,0.02,296.11,4,15.18,1.34,0.16
EURJPY,TS,2022.11.05,2026.04.30,-0.05,-1177.68,2,15.29,0.01,-0.74
EURJPY,RSI,2022.11.05,2026.04.30,-0.09,-436.59,1,15.06,0.0,-0.26
GBPJPY,TS,2020.11.23,2026.04.30,-0.34,-956.55,3,15.23,0.18,-0.59
GBPJPY,RSI,2020.11.23,2026.04.30,-0.14,-1455.89,1,15.19,0.0,-0.95
