target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.2,12.0,0.08,3.2583,4.5317,0.8477,1.218,0.6648,186,324.7,0.997
0.2,12.0,0.04,7.971,5.1104,1.4018,1.4104,1.3708,186,794.27,0.997
0.2,12.0,0.02,10.5675,4.9981,1.6189,1.5562,1.8166,186,1052.95,0.997
0.2,24.0,0.06,4.3162,5.3859,0.9001,1.24,0.7269,186,430.11,0.997
0.2,24.0,0.04,7.971,5.1104,1.4018,1.4104,1.3708,186,794.27,0.997
0.2,24.0,0.08,3.2583,4.5317,0.8477,1.218,0.6648,186,324.7,0.997
0.2,24.0,0.02,10.5675,4.9981,1.6189,1.5562,1.8166,186,1052.95,0.997
0.2,36.0,0.04,7.971,5.1104,1.4018,1.4104,1.3708,186,794.27,0.997
0.2,36.0,0.06,4.3162,5.3859,0.9001,1.24,0.7269,186,430.11,0.997
0.2,36.0,0.02,10.5675,4.9981,1.6189,1.5562,1.8166,186,1052.95,0.997
0.2,36.0,0.08,3.2583,4.5317,0.8477,1.218,0.6648,186,324.7,0.997
0.2,48.0,0.08,3.2583,4.5317,0.8477,1.218,0.6648,186,324.7,0.997
0.2,48.0,0.06,4.3162,5.3859,0.9001,1.24,0.7269,186,430.11,0.997
0.2,48.0,0.02,10.5675,4.9981,1.6189,1.5562,1.8166,186,1052.95,0.997
0.2,48.0,0.04,7.971,5.1104,1.4018,1.4104,1.3708,186,794.27,0.997
0.3,12.0,0.06,7.6252,6.4422,1.1597,1.3273,1.0289,186,759.81,0.997
0.3,12.0,0.04,11.2974,6.0491,1.5696,1.4853,1.5791,186,1125.66,0.997
0.3,12.0,0.08,4.4561,6.0842,0.8044,1.2158,0.6585,186,444.05,0.997
0.3,12.0,0.02,12.6715,6.0559,1.5953,1.55,1.7474,186,1262.55,0.997
0.3,24.0,0.06,7.6252,6.4422,1.1597,1.3273,1.0289,186,759.81,0.997
0.3,24.0,0.08,4.4561,6.0842,0.8044,1.2158,0.6585,186,444.05,0.997
0.3,24.0,0.04,11.2974,6.0491,1.5696,1.4853,1.5791,186,1125.66,0.997
0.3,24.0,0.02,12.573200000000002,5.996,1.5767,1.5428,1.7538,186,1252.76,0.997
0.3,36.0,0.02,12.573200000000002,5.996,1.5767,1.5428,1.7538,186,1252.76,0.997
0.3,36.0,0.04,11.2974,6.0491,1.5696,1.4853,1.5791,186,1125.66,0.997
0.3,36.0,0.06,7.6252,6.4422,1.1597,1.3273,1.0289,186,759.81,0.997
0.3,36.0,0.08,4.4561,6.0842,0.8044,1.2158,0.6585,186,444.05,0.997
0.3,48.0,0.08,4.4561,6.0842,0.8044,1.2158,0.6585,186,444.05,0.997
0.3,48.0,0.06,7.6252,6.4422,1.1597,1.3273,1.0289,186,759.81,0.997
0.3,48.0,0.04,11.2974,6.0491,1.5696,1.4853,1.5791,186,1125.66,0.997
0.3,48.0,0.02,12.573200000000002,5.996,1.5767,1.5428,1.7538,186,1252.76,0.997
0.4,12.0,0.06,11.4968,7.0648,1.415,1.4251,1.3591,186,1145.53,0.997
0.4,12.0,0.08,6.4061,7.5627,0.9142,1.2505,0.736,186,638.35,0.997
0.4,12.0,0.02,15.113999999999999,6.8748,1.6691,1.5706,1.7833,186,1505.86,0.997
0.4,12.0,0.04,13.924600000000002,6.8478,1.6222,1.5254,1.6672,186,1387.38,0.997
0.4,24.0,0.06,11.4968,7.0648,1.415,1.4251,1.3591,186,1145.53,0.997
0.4,24.0,0.02,14.954899999999999,6.8836,1.5838,1.5546,1.7645,186,1490.01,0.997
0.4,24.0,0.08,6.4061,7.5627,0.9142,1.2505,0.736,186,638.35,0.997
0.4,24.0,0.04,13.924600000000002,6.8478,1.6222,1.5254,1.6672,186,1387.38,0.997
0.4,36.0,0.08,6.4061,7.5627,0.9142,1.2505,0.736,186,638.35,0.997
0.4,36.0,0.04,13.924600000000002,6.8478,1.6222,1.5254,1.6672,186,1387.38,0.997
0.4,36.0,0.02,14.954899999999999,6.8836,1.5838,1.5546,1.7645,186,1490.01,0.997
0.4,36.0,0.06,11.4968,7.0648,1.415,1.4251,1.3591,186,1145.53,0.997
0.4,48.0,0.08,6.4061,7.5627,0.9142,1.2505,0.736,186,638.35,0.997
0.4,48.0,0.02,14.954899999999999,6.8836,1.5838,1.5546,1.7645,186,1490.01,0.997
0.4,48.0,0.04,13.924600000000002,6.8478,1.6222,1.5254,1.6672,186,1387.38,0.997
0.4,48.0,0.06,11.4968,7.0648,1.415,1.4251,1.3591,186,1145.53,0.997
0.5,12.0,0.08,9.3624,8.5289,1.1148,1.3161,0.921,186,932.89,0.997
0.5,12.0,0.02,15.7615,8.0386,1.5906,1.5214,1.5617,186,1570.35,0.997
0.5,12.0,0.06,14.0207,8.1121,1.5045,1.4594,1.3966,186,1396.95,0.997
0.5,12.0,0.04,15.7615,8.0386,1.5906,1.5214,1.5617,186,1570.35,0.997
0.5,24.0,0.06,14.0207,8.1121,1.5045,1.4594,1.3966,186,1396.95,0.997
0.5,24.0,0.02,16.8541,7.8637,1.5671,1.5541,1.6943,186,1679.18,0.997
