target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.2,12.0,0.06,3.7463,6.8442,0.9137,1.2888,2.6304,788,1990.77,4.936
0.2,12.0,0.08,3.1628000000000003,5.7034,0.9776,1.2984,2.7025,788,1661.5,4.936
0.2,12.0,0.02,6.717099999999999,6.0318,1.2399,1.424,5.1071,788,3783.9,4.936
0.2,12.0,0.04,5.6691,5.9776,1.1811,1.3934,4.577,788,3128.5,4.936
0.2,24.0,0.08,3.1628000000000003,5.7034,0.9776,1.2984,2.7025,788,1661.5,4.936
0.2,24.0,0.04,5.6691,5.9776,1.1811,1.3934,4.577,788,3128.5,4.936
0.2,24.0,0.06,3.7463,6.8442,0.9137,1.2888,2.6304,788,1990.77,4.936
0.2,24.0,0.02,6.717099999999999,6.0318,1.2399,1.424,5.1071,788,3783.9,4.936
0.2,36.0,0.06,3.7463,6.8442,0.9137,1.2888,2.6304,788,1990.77,4.936
0.2,36.0,0.02,6.717099999999999,6.0318,1.2399,1.424,5.1071,788,3783.9,4.936
0.2,36.0,0.04,5.6691,5.9776,1.1811,1.3934,4.577,788,3128.5,4.936
0.2,36.0,0.08,3.1628000000000003,5.7034,0.9776,1.2984,2.7025,788,1661.5,4.936
0.2,48.0,0.06,3.7463,6.8442,0.9137,1.2888,2.6304,788,1990.77,4.936
0.2,48.0,0.02,6.717099999999999,6.0318,1.2399,1.424,5.1071,788,3783.9,4.936
0.2,48.0,0.08,3.1628000000000003,5.7034,0.9776,1.2984,2.7025,788,1661.5,4.936
0.2,48.0,0.04,5.6691,5.9776,1.1811,1.3934,4.577,788,3128.5,4.936
0.3,12.0,0.06,6.0287,7.8147,1.0793,1.3568,3.6959,788,3350.52,4.936
0.3,12.0,0.08,4.069,7.729,0.8562,1.2725,2.531,788,2176.0,4.936
0.3,12.0,0.02,8.6064,7.3421,1.2848,1.4482,5.3724,788,5031.21,4.936
0.3,12.0,0.04,7.824000000000001,7.1134,1.2344,1.4267,5.1269,788,4504.23,4.936
0.3,24.0,0.08,4.069,7.729,0.8562,1.2725,2.531,788,2176.0,4.936
0.3,24.0,0.04,7.824000000000001,7.1134,1.2344,1.4267,5.1269,788,4504.23,4.936
0.3,24.0,0.02,7.9543,7.4036,1.1825,1.4085,4.9034,788,4590.99,4.936
0.3,24.0,0.06,6.0287,7.8147,1.0793,1.3568,3.6959,788,3350.52,4.936
0.3,36.0,0.06,6.0287,7.8147,1.0793,1.3568,3.6959,788,3350.52,4.936
0.3,36.0,0.02,7.9543,7.4036,1.1825,1.4085,4.9034,788,4590.99,4.936
