target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.75,48.0,0.01,29.516199999999998,11.3863,1.9861,1.896,2.4708,168,2940.16,0.997
0.75,48.0,0.02,31.2977,9.1246,2.2498,1.9616,2.637,168,3117.54,0.997
0.75,64.0,0.02,31.2977,9.1246,2.2498,1.9616,2.637,168,3117.54,0.997
0.75,64.0,0.01,27.6997,14.7887,1.642,1.8321,1.8556,168,2759.29,0.997
0.75,80.0,0.02,31.2977,9.1246,2.2498,1.9616,2.637,168,3117.54,0.997
0.75,80.0,0.01,26.366600000000002,17.2762,1.4155,1.786,1.5118,168,2626.54,0.997
1.0,48.0,0.01,35.7089,11.4631,2.1036,1.8936,2.4485,168,3556.72,0.997
1.0,48.0,0.02,35.7089,11.4631,2.1036,1.8936,2.4485,168,3556.72,0.997
1.0,64.0,0.02,35.6931,11.9457,2.0773,1.8961,2.4559,168,3555.14,0.997
1.0,64.0,0.01,33.9223,14.8654,1.8135,1.845,2.2605,168,3378.85,0.997
1.0,80.0,0.01,31.122100000000003,18.3528,1.4804,1.7678,1.6792,168,3100.06,0.997
1.0,80.0,0.02,35.6931,11.9457,2.0773,1.8961,2.4559,168,3555.14,0.997
1.25,48.0,0.01,41.4844,11.5781,2.1965,1.9041,2.4682,168,4131.65,0.997
1.25,48.0,0.02,41.4844,11.5781,2.1965,1.9041,2.4682,168,4131.65,0.997
1.25,64.0,0.02,39.2201,14.7628,1.9305,1.8469,2.3307,168,3906.25,0.997
1.25,64.0,0.01,39.5461,14.9038,1.9321,1.8594,2.3483,168,3938.71,0.997
1.25,80.0,0.02,39.2201,14.7628,1.9305,1.8469,2.3307,168,3906.25,0.997
1.25,80.0,0.01,37.4506,18.3912,1.6514,1.8056,2.0163,168,3730.1,0.997
1.5,48.0,0.01,46.656,12.0838,2.246,1.9038,2.4063,168,4646.39,0.997
1.5,48.0,0.02,46.656,12.0838,2.246,1.9038,2.4063,168,4646.39,0.997
1.5,64.0,0.02,45.5202,14.9805,2.0335,1.874,2.3588,168,4533.35,0.997
1.5,64.0,0.01,45.5202,14.9805,2.0335,1.874,2.3588,168,4533.35,0.997
1.5,80.0,0.02,43.6441,17.4296,1.8406,1.8373,2.286,168,4346.62,0.997
1.5,80.0,0.01,42.9137,18.4678,1.764,1.8241,2.2856,168,4273.92,0.997
