target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.75,48.0,0.01,17.4593,12.9889,1.499,1.5665,4.046,585,8842.92,3.937
0.75,48.0,0.02,17.069300000000002,13.0038,1.4848,1.5573,3.9821,585,8597.85,3.937
0.75,64.0,0.01,18.4042,12.8688,1.5507,1.5946,4.2559,585,9446.79,3.937
0.75,64.0,0.02,17.069300000000002,13.0038,1.4848,1.5573,3.9821,585,8597.85,3.937
0.75,80.0,0.02,17.069300000000002,13.0038,1.4848,1.5573,3.9821,585,8597.85,3.937
0.75,80.0,0.01,18.389,12.8581,1.5296,1.5941,4.2581,585,9436.99,3.937
1.0,48.0,0.02,20.5816,14.635,1.5146,1.5709,4.0975,585,10893.26,3.937
1.0,48.0,0.01,20.5816,14.635,1.5146,1.5709,4.0975,585,10893.26,3.937
1.0,64.0,0.02,20.544,14.7112,1.5099,1.569,4.0598,585,10867.6,3.937
1.0,64.0,0.01,20.9529,14.7939,1.5187,1.5757,4.0929,585,11147.67,3.937
1.0,80.0,0.01,21.451700000000002,14.7545,1.5301,1.5832,4.1503,585,11493.11,3.937
1.0,80.0,0.02,20.544,14.7112,1.5099,1.569,4.0598,585,10867.6,3.937
1.25,48.0,0.01,22.5379,16.3608,1.4784,1.5501,3.9191,585,12259.9,3.937
1.25,48.0,0.02,22.5379,16.3608,1.4784,1.5501,3.9191,585,12259.9,3.937
1.25,64.0,0.02,23.382,16.2583,1.5105,1.5653,4.0263,585,12869.76,3.937
1.25,64.0,0.01,23.3819,16.2584,1.5104,1.5654,4.0263,585,12869.68,3.937
1.25,80.0,0.02,23.382,16.2583,1.5105,1.5653,4.0263,585,12869.76,3.937
1.25,80.0,0.01,24.008599999999998,16.5487,1.5235,1.5698,3.9984,585,13330.44,3.937
1.5,48.0,0.01,24.541,17.9378,1.4548,1.5358,3.7918,585,13727.24,3.937
1.5,48.0,0.02,24.541,17.9378,1.4548,1.5358,3.7918,585,13727.24,3.937
1.5,64.0,0.02,25.4537,17.771,1.4894,1.5521,3.9178,585,14419.25,3.937
1.5,64.0,0.01,25.4537,17.771,1.4894,1.5521,3.9178,585,14419.25,3.937
1.5,80.0,0.02,25.859700000000004,17.9801,1.4962,1.5555,3.8923,585,14731.83,3.937
1.5,80.0,0.01,26.053199999999997,17.9589,1.5022,1.5586,3.9106,585,14881.92,3.937
