target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.5,16.0,0.04,4.6337,5.513,0.6717,1.2416,1.236,206,699.23,1.492
0.5,16.0,0.03,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,16.0,0.02,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,16.0,0.015,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,16.0,0.005,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,16.0,0.035,4.9984,5.4473,0.7035,1.2599,1.3096,206,754.93,1.492
0.5,16.0,0.01,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,16.0,0.025,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,32.0,0.03,4.0631,5.8564,0.5676,1.2072,1.0021,206,612.28,1.492
0.5,32.0,0.01,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,32.0,0.015,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,32.0,0.005,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,32.0,0.04,4.6337,5.513,0.6717,1.2416,1.236,206,699.23,1.492
0.5,32.0,0.025,4.0454,6.1685,0.5461,1.204,0.9543,206,609.6,1.492
0.5,32.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492
0.5,32.0,0.035,4.9984,5.4473,0.7035,1.2599,1.3096,206,754.93,1.492
0.5,48.0,0.04,4.6337,5.513,0.6717,1.2416,1.236,206,699.23,1.492
0.5,48.0,0.005,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,48.0,0.025,4.0454,6.1685,0.5461,1.204,0.9543,206,609.6,1.492
0.5,48.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492
0.5,48.0,0.03,4.0631,5.8564,0.5676,1.2072,1.0021,206,612.28,1.492
0.5,48.0,0.015,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,48.0,0.035,4.9984,5.4473,0.7035,1.2599,1.3096,206,754.93,1.492
0.5,48.0,0.01,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,64.0,0.03,4.0631,5.8564,0.5676,1.2072,1.0021,206,612.28,1.492
0.5,64.0,0.04,4.6337,5.513,0.6717,1.2416,1.236,206,699.23,1.492
0.5,64.0,0.015,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,64.0,0.025,4.0454,6.1685,0.5461,1.204,0.9543,206,609.6,1.492
0.5,64.0,0.035,4.9984,5.4473,0.7035,1.2599,1.3096,206,754.93,1.492
0.5,64.0,0.01,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,64.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492
0.5,64.0,0.005,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,80.0,0.005,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,80.0,0.035,4.9984,5.4473,0.7035,1.2599,1.3096,206,754.93,1.492
0.5,80.0,0.025,4.0454,6.1685,0.5461,1.204,0.9543,206,609.6,1.492
0.5,80.0,0.01,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,80.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492
0.5,80.0,0.015,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,80.0,0.04,4.6337,5.513,0.6717,1.2416,1.236,206,699.23,1.492
1.0,16.0,0.04,6.2303,7.5975,0.6292,1.2277,1.1634,206,943.75,1.492
1.0,16.0,0.03,6.2303,7.5975,0.6292,1.2277,1.1634,206,943.75,1.492
1.0,16.0,0.015,6.2303,7.5975,0.6292,1.2277,1.1634,206,943.75,1.492
1.0,16.0,0.02,6.2303,7.5975,0.6292,1.2277,1.1634,206,943.75,1.492
1.0,16.0,0.01,6.2303,7.5975,0.6292,1.2277,1.1634,206,943.75,1.492
1.0,16.0,0.005,6.2303,7.5975,0.6292,1.2277,1.1634,206,943.75,1.492
1.0,16.0,0.035,6.2303,7.5975,0.6292,1.2277,1.1634,206,943.75,1.492
1.0,16.0,0.025,6.2303,7.5975,0.6292,1.2277,1.1634,206,943.75,1.492
1.0,32.0,0.04,6.4378,8.2294,0.6227,1.2276,1.102,206,975.65,1.492
1.0,32.0,0.02,6.7416,8.6967,0.6226,1.2388,1.1185,206,1022.43,1.492
1.0,32.0,0.025,6.7416,8.6967,0.6226,1.2388,1.1185,206,1022.43,1.492
1.0,32.0,0.005,6.7416,8.6967,0.6226,1.2388,1.1185,206,1022.43,1.492
1.0,32.0,0.035,6.5528,8.486,0.6214,1.2315,1.1079,206,993.35,1.492
1.0,32.0,0.015,6.7416,8.6967,0.6226,1.2388,1.1185,206,1022.43,1.492
1.0,32.0,0.01,6.7416,8.6967,0.6226,1.2388,1.1185,206,1022.43,1.492
1.0,32.0,0.03,6.7416,8.6967,0.6226,1.2388,1.1185,206,1022.43,1.492
1.0,48.0,0.04,6.4378,8.2294,0.6227,1.2276,1.102,206,975.65,1.492
1.0,48.0,0.005,7.2062,9.8468,0.5812,1.2548,1.0368,206,1094.1,1.492
1.0,48.0,0.025,6.382599999999999,9.217,0.5497,1.2238,0.9887,206,967.16,1.492
1.0,48.0,0.03,6.8229,8.7404,0.6232,1.2416,1.1248,206,1034.97,1.492
1.0,48.0,0.02,7.2062,9.8468,0.5812,1.2548,1.0368,206,1094.1,1.492
1.0,48.0,0.015,7.2062,9.8468,0.5812,1.2548,1.0368,206,1094.1,1.492
1.0,48.0,0.035,6.5528,8.486,0.6214,1.2315,1.1079,206,993.35,1.492
1.0,48.0,0.01,7.2062,9.8468,0.5812,1.2548,1.0368,206,1094.1,1.492
1.0,64.0,0.03,6.8229,8.7404,0.6232,1.2416,1.1248,206,1034.97,1.492
1.0,64.0,0.04,6.4378,8.2294,0.6227,1.2276,1.102,206,975.65,1.492
1.0,64.0,0.015,7.474799999999999,10.2376,0.5477,1.264,1.0212,206,1135.6,1.492
1.0,64.0,0.025,6.382599999999999,9.217,0.5497,1.2238,0.9887,206,967.16,1.492
