target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.1,2.0,0.02,2.4648,4.739,0.9497,1.2824,2.8065,835,1414.06,5.432
0.1,4.0,0.02,4.018,4.4381,1.1932,1.389,4.8353,835,2386.01,5.432
0.1,6.0,0.02,3.8757,4.4329,1.0965,1.3493,4.6493,835,2294.24,5.432
0.1,8.0,0.02,3.8757,4.4329,1.0965,1.3493,4.6493,835,2294.24,5.432
0.1,10.0,0.02,3.8757,4.4329,1.0965,1.3493,4.6493,835,2294.24,5.432
0.1,12.0,0.02,3.8757,4.4329,1.0965,1.3493,4.6493,835,2294.24,5.432
0.1,14.0,0.02,3.8757,4.4329,1.0965,1.3493,4.6493,835,2294.24,5.432
0.1,16.0,0.02,3.8757,4.4329,1.0965,1.3493,4.6493,835,2294.24,5.432
0.1,18.0,0.02,3.8757,4.4329,1.0965,1.3493,4.6493,835,2294.24,5.432
0.1,20.0,0.02,3.8757,4.4329,1.0965,1.3493,4.6493,835,2294.24,5.432
0.15,2.0,0.02,2.4663999999999997,4.7878,0.9483,1.2816,2.7798,835,1415.06,5.432
0.15,4.0,0.02,4.1769,5.2762,1.0724,1.3468,4.2065,835,2489.14,5.432
0.15,6.0,0.02,4.9451,5.3123,1.1408,1.3758,4.9616,835,2997.62,5.432
0.15,8.0,0.02,4.8472,5.2318,1.0931,1.3533,4.7171,835,2931.94,5.432
0.15,10.0,0.02,4.8472,5.2318,1.0931,1.3533,4.7171,835,2931.94,5.432
0.15,12.0,0.02,4.8472,5.2318,1.0931,1.3533,4.7171,835,2931.94,5.432
0.15,14.0,0.02,4.8472,5.2318,1.0931,1.3533,4.7171,835,2931.94,5.432
0.15,16.0,0.02,4.8472,5.2318,1.0931,1.3533,4.7171,835,2931.94,5.432
0.15,18.0,0.02,4.8472,5.2318,1.0931,1.3533,4.7171,835,2931.94,5.432
0.15,20.0,0.02,4.8472,5.2318,1.0931,1.3533,4.7171,835,2931.94,5.432
0.2,2.0,0.02,2.4663999999999997,4.7878,0.9483,1.2816,2.7798,835,1415.06,5.432
0.2,4.0,0.02,4.1757,6.4776,0.9752,1.3154,3.412,835,2488.38,5.432
0.2,6.0,0.02,5.5579,5.9768,1.137,1.3786,4.9393,835,3415.28,5.432
0.2,8.0,0.02,5.4761,6.0363,1.0694,1.3486,4.68,835,3358.9,5.432
0.2,10.0,0.02,5.6147,6.0318,1.0651,1.349,4.6625,835,3454.51,5.432
0.2,12.0,0.02,5.6147,6.0318,1.0651,1.349,4.6625,835,3454.51,5.432
0.2,14.0,0.02,5.6147,6.0318,1.0651,1.349,4.6625,835,3454.51,5.432
0.2,16.0,0.02,5.6147,6.0318,1.0651,1.349,4.6625,835,3454.51,5.432
0.2,18.0,0.02,5.6147,6.0318,1.0651,1.349,4.6625,835,3454.51,5.432
0.2,20.0,0.02,5.6147,6.0318,1.0651,1.349,4.6625,835,3454.51,5.432
0.25,2.0,0.02,2.4663999999999997,4.7878,0.9483,1.2816,2.7798,835,1415.06,5.432
0.25,4.0,0.02,4.0715,7.4912,0.8897,1.2879,2.8688,835,2420.69,5.432
0.25,6.0,0.02,5.952,6.6636,1.1112,1.3704,4.7309,835,3689.59,5.432
0.25,8.0,0.02,6.301900000000001,6.625,1.0988,1.3642,4.9411,835,3936.93,5.432
0.25,10.0,0.02,6.2341,6.7104,1.0715,1.3505,4.6719,835,3888.72,5.432
0.25,12.0,0.02,6.562600000000001,6.6836,1.1037,1.3685,4.9021,835,4123.63,5.432
0.25,14.0,0.02,6.3723,6.7371,1.0718,1.3561,4.7377,835,3987.2,5.432
0.25,16.0,0.02,6.3723,6.7371,1.0718,1.3561,4.7377,835,3987.2,5.432
0.25,18.0,0.02,6.3723,6.7371,1.0718,1.3561,4.7377,835,3987.2,5.432
0.25,20.0,0.02,6.3723,6.7371,1.0718,1.3561,4.7377,835,3987.2,5.432
0.3,2.0,0.02,2.4663999999999997,4.7878,0.9483,1.2816,2.7798,835,1415.06,5.432
0.3,4.0,0.02,4.1171,8.0434,0.8632,1.279,2.7003,835,2450.25,5.432
0.3,6.0,0.02,6.3929,7.0388,1.1141,1.3723,4.8018,835,4001.9,5.432
0.3,8.0,0.02,6.9603,7.1772,1.1185,1.3739,4.9533,835,4412.36,5.432
0.3,10.0,0.02,6.895700000000001,7.3693,1.0835,1.3522,4.7505,835,4365.14,5.432
0.3,12.0,0.02,7.2357000000000005,7.3421,1.1107,1.3683,4.928,835,4615.08,5.432
0.3,14.0,0.02,6.8483,7.4255,1.0461,1.3486,4.6234,835,4330.54,5.432
0.3,16.0,0.02,6.6153,7.4036,1.0104,1.3326,4.4448,835,4161.6,5.432
0.3,18.0,0.02,6.6153,7.4036,1.0104,1.3326,4.4448,835,4161.6,5.432
0.3,20.0,0.02,6.6153,7.4036,1.0104,1.3326,4.4448,835,4161.6,5.432
0.35,2.0,0.02,2.4663999999999997,4.7878,0.9483,1.2816,2.7798,835,1415.06,5.432
0.35,4.0,0.02,4.1894,8.178,0.8581,1.2777,2.7054,835,2497.3,5.432
0.35,6.0,0.02,6.4871,8.0566,1.0661,1.3542,4.2412,835,4069.38,5.432
0.35,8.0,0.02,7.477799999999999,7.9243,1.1206,1.3736,4.9505,835,4795.18,5.432
0.35,10.0,0.02,7.552300000000001,7.9482,1.0939,1.3595,4.7762,835,4850.95,5.432
0.35,12.0,0.02,7.5543,8.0509,1.0759,1.3534,4.7063,835,4852.48,5.432
0.35,14.0,0.02,7.5644,8.0099,1.0656,1.3532,4.6885,835,4860.05,5.432
0.35,16.0,0.02,7.5565999999999995,8.0461,1.06,1.3516,4.6757,835,4854.21,5.432
0.35,18.0,0.02,7.3061,8.0194,1.0284,1.3406,4.539,835,4667.23,5.432
0.35,20.0,0.02,7.3061,8.0194,1.0284,1.3406,4.539,835,4667.23,5.432
0.4,2.0,0.02,2.4663999999999997,4.7878,0.9483,1.2816,2.7798,835,1415.06,5.432
0.4,4.0,0.02,4.1974,8.4596,0.8539,1.2755,2.6208,835,2502.49,5.432
0.4,6.0,0.02,6.5011,9.0601,1.0185,1.3368,3.7666,835,4079.44,5.432
0.4,8.0,0.02,7.9361,8.5927,1.1235,1.376,4.8522,835,5141.09,5.432
0.4,10.0,0.02,8.187999999999999,8.6405,1.1089,1.3676,4.849,835,5334.03,5.432
0.4,12.0,0.02,8.2622,8.6214,1.1016,1.3609,4.9079,835,5391.27,5.432
0.4,14.0,0.02,8.161200000000001,8.5644,1.0717,1.3557,4.7226,835,5313.44,5.432
0.4,16.0,0.02,8.1839,8.7288,1.0628,1.3542,4.6309,835,5330.89,5.432
0.4,18.0,0.02,7.9329,8.7497,1.033,1.3457,4.5128,835,5138.7,5.432
0.4,20.0,0.02,7.8370999999999995,8.7554,1.0225,1.3397,4.4488,835,5065.82,5.432
0.45,2.0,0.02,2.4663999999999997,4.7878,0.9483,1.2816,2.7798,835,1415.06,5.432
0.45,4.0,0.02,4.16,8.6236,0.8444,1.2718,2.5459,835,2478.13,5.432
0.45,6.0,0.02,6.4019,10.1513,0.9715,1.3201,3.3014,835,4008.36,5.432
0.45,8.0,0.02,8.215,9.1112,1.1118,1.3714,4.7267,835,5354.88,5.432
0.45,10.0,0.02,8.609,9.1284,1.1047,1.3657,4.8712,835,5660.96,5.432
0.45,12.0,0.02,8.517199999999999,9.0841,1.0683,1.3518,4.7485,835,5589.23,5.432
0.45,14.0,0.02,8.8439,9.1429,1.0946,1.3617,4.7782,835,5845.85,5.432
0.45,16.0,0.02,8.734599999999999,9.122,1.0735,1.3542,4.7947,835,5759.59,5.432
0.45,18.0,0.02,8.3361,9.0481,1.0267,1.3359,4.5194,835,5448.45,5.432
0.45,20.0,0.02,8.443299999999999,9.2431,1.0414,1.3413,4.6121,835,5531.66,5.432
0.5,2.0,0.02,2.4663999999999997,4.7878,0.9483,1.2816,2.7798,835,1415.06,5.432
0.5,4.0,0.02,4.1539,8.6236,0.8426,1.2711,2.5418,835,2474.16,5.432
0.5,6.0,0.02,6.2374,11.1505,0.9133,1.2996,2.916,835,3891.08,5.432
0.5,8.0,0.02,8.462,9.6567,1.094,1.3662,4.5751,835,5546.17,5.432
0.5,10.0,0.02,8.9314,9.5035,1.0907,1.3604,4.7908,835,5915.2,5.432
0.5,12.0,0.02,9.033900000000001,9.4908,1.0811,1.3539,4.8032,835,5996.71,5.432
0.5,14.0,0.02,9.112499999999999,9.4116,1.0731,1.3532,4.7748,835,6059.47,5.432
0.5,16.0,0.02,9.341099999999999,9.3761,1.0864,1.3608,4.8839,835,6243.05,5.432
0.5,18.0,0.02,9.165700000000001,9.3907,1.0605,1.3533,4.7914,835,6102.04,5.432
0.5,20.0,0.02,9.1815,9.3882,1.0609,1.3532,4.7907,835,6114.71,5.432
