label,fold,from,to,sharpe,net,max_dd_pct,trades
baseline_6_14,fold1_oos,2021.11.01,2022.10.31,1.57,1190.41,5.98,186.0
baseline_6_14,fold2_oos,2022.11.01,2023.10.31,0.98,557.42,4.94,202.0
baseline_6_14,fold3_oos,2023.11.01,2024.10.31,2.06,1477.95,4.06,169.0
baseline_6_14,fold4_oos,2024.11.01,2025.10.31,1.5,827.87,4.22,159.0
baseline_6_14,fold5_oos,2025.11.01,2026.04.30,-0.49,-90.63,3.73,47.0
london_8_16,fold1_oos,2021.11.01,2022.10.31,2.24,1712.45,5.07,174.0
london_8_16,fold2_oos,2022.11.01,2023.10.31,1.04,581.88,4.94,192.0
london_8_16,fold3_oos,2023.11.01,2024.10.31,2.04,1473.2,4.16,157.0
london_8_16,fold4_oos,2024.11.01,2025.10.31,1.77,1014.69,3.28,156.0
london_8_16,fold5_oos,2025.11.01,2026.04.30,-0.17,-30.76,3.11,46.0
