fast,slow,sharpe,net,max_dd_pct,trades
14,50,1.4,5711.5,6.54,820.0
30,50,1.4,6015.66,7.92,781.0
10,100,1.39,5622.08,8.02,775.0
20,50,1.34,5648.54,7.8,797.0
14,100,1.33,5466.78,8.34,765.0
10,50,1.31,5119.67,6.66,837.0
20,100,1.23,4990.35,7.96,756.0
50,100,1.18,4769.3,7.39,729.0
30,200,1.14,4446.9,7.57,703.0
10,200,1.13,4452.62,7.12,726.0
20,200,1.09,4280.67,7.28,717.0
10,30,1.08,3866.23,6.34,866.0
14,200,1.07,4242.58,6.72,721.0
30,100,1.06,4158.31,8.22,743.0
20,30,1.06,3961.22,6.8,832.0
14,30,1.02,3705.35,8.77,846.0
50,200,1.01,3923.79,9.11,694.0
