label,fast,slow,fold,sharpe,net,max_dd_pct,trades
baseline_20_50,20,50,fold1_oos,2.24,1712.45,5.07,174.0
baseline_20_50,20,50,fold2_oos,1.04,581.88,4.94,192.0
baseline_20_50,20,50,fold3_oos,2.04,1473.2,4.16,157.0
baseline_20_50,20,50,fold4_oos,1.77,1014.69,3.28,156.0
baseline_20_50,20,50,fold5_oos,-0.17,-30.76,3.11,46.0
ts_14_50,14,50,fold1_oos,2.14,1648.15,5.25,174.0
ts_14_50,14,50,fold2_oos,0.99,537.79,4.99,197.0
ts_14_50,14,50,fold3_oos,1.95,1402.86,3.89,162.0
ts_14_50,14,50,fold4_oos,1.8,1032.51,3.28,160.0
ts_14_50,14,50,fold5_oos,-0.16,-26.07,2.39,47.0
ts_30_50,30,50,fold1_oos,2.33,1759.16,4.84,172.0
ts_30_50,30,50,fold2_oos,0.81,455.96,4.95,187.0
ts_30_50,30,50,fold3_oos,2.04,1469.59,4.35,154.0
ts_30_50,30,50,fold4_oos,1.69,988.49,3.15,155.0
ts_30_50,30,50,fold5_oos,1.6,267.63,1.87,43.0
