target_vol_is,max_lev_is,vol_floor_is,cagr_pct_is,equity_dd_pct_is,sharpe_is,profit_factor_is,recovery_factor_is,trades_is,net_profit_is,years_is,vt_r,lev_r,vfl_r,calmar_is,cagr_robust,sharpe_robust,target_vol_oos,max_lev_oos,vol_floor_oos,cagr_pct_oos,equity_dd_pct_oos,sharpe_oos,profit_factor_oos,recovery_factor_oos,trades_oos,net_profit_oos,years_oos,calmar_oos
0.1,8.0,0.01,4.7284,4.453,1.2246,1.3994,3.959,630,1994.85,3.937,0.1,8.0,0.01,1.0618459465528856,5.024175,1.17455,0.1,8.0,0.01,3.2488,2.2672,1.0852,1.3993,2.1179,206,488.61,1.492,1.4329569513055753
0.1,8.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937,0.1,8.0,0.02,1.0088655282095242,5.0141,1.2064,0.1,8.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492,1.1528329590602868
0.1,8.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937,0.1,8.0,0.03,0.8966114876124874,4.64935,1.2141,0.1,8.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492,1.163173719876139
0.1,8.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937,0.1,8.0,0.04,0.5732838229290199,3.6857499999999996,1.0323,0.1,8.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492,1.1116624239547828
0.1,8.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937,0.1,8.0,0.05,0.5157839206583668,3.0241,0.935,0.1,8.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492,1.2653476593931936
0.1,8.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937,0.1,8.0,0.06,0.5116256771657317,2.54785,0.8966999999999999,0.1,8.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492,1.5117867013493742
0.1,8.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937,0.1,8.0,0.07,0.5559652053689729,2.2954,0.9279,0.1,8.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492,1.7552073732718896
0.1,8.0,0.08,1.8246,2.9851,0.9299,1.251,2.3726,630,737.83,3.937,0.1,8.0,0.08,0.6112358044956617,2.0143,0.8974500000000001,0.1,8.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492,2.01879222972973
0.1,16.0,0.08,1.8246,2.9851,0.9299,1.251,2.3726,630,737.83,3.937,0.1,16.0,0.08,0.6112358044956617,2.0143,0.8974500000000001,0.1,16.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492,2.01879222972973
0.1,16.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937,0.1,16.0,0.01,1.003248071457572,4.963,1.1580166666666667,0.1,16.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492,1.4385585744530698
0.1,16.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937,0.1,16.0,0.02,1.0088655282095242,5.0141,1.2064000000000001,0.1,16.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492,1.1528329590602868
0.1,16.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937,0.1,16.0,0.03,0.8966114876124874,4.64935,1.2141,0.1,16.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492,1.163173719876139
0.1,16.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937,0.1,16.0,0.04,0.5732838229290199,3.685749999999999,1.0323,0.1,16.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492,1.1116624239547828
0.1,16.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937,0.1,16.0,0.05,0.5157839206583668,3.0241000000000002,0.935,0.1,16.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492,1.2653476593931936
0.1,16.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937,0.1,16.0,0.06,0.5116256771657317,2.54785,0.8966999999999999,0.1,16.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492,1.5117867013493742
0.1,16.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937,0.1,16.0,0.07,0.5559652053689729,2.2954000000000003,0.9278999999999998,0.1,16.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492,1.7552073732718896
0.1,24.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937,0.1,24.0,0.03,0.8966114876124874,4.64935,1.2141,0.1,24.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492,1.163173719876139
0.1,24.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937,0.1,24.0,0.04,0.5732838229290199,3.685749999999999,1.0323,0.1,24.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492,1.1116624239547828
0.1,24.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937,0.1,24.0,0.05,0.5157839206583668,3.0241000000000002,0.935,0.1,24.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492,1.2653476593931936
0.1,24.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937,0.1,24.0,0.06,0.5116256771657317,2.54785,0.8966999999999999,0.1,24.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492,1.5117867013493742
0.1,24.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937,0.1,24.0,0.07,0.5559652053689729,2.2954000000000003,0.9278999999999998,0.1,24.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492,1.7552073732718896
0.1,24.0,0.08,1.8246,2.9851,0.9299,1.251,2.3726,630,737.83,3.937,0.1,24.0,0.08,0.6112358044956617,2.0143,0.8974500000000001,0.1,24.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492,2.01879222972973
0.1,24.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937,0.1,24.0,0.01,1.003248071457572,4.840649999999999,1.12495,0.1,24.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492,1.4385585744530698
0.1,24.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937,0.1,24.0,0.02,1.0088655282095242,5.0141,1.2064000000000001,0.1,24.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492,1.1528329590602868
0.1,32.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937,0.1,32.0,0.01,1.003248071457572,4.840649999999999,1.12495,0.1,32.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492,1.4385585744530698
0.1,32.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937,0.1,32.0,0.02,1.0088655282095242,5.0141,1.2064000000000001,0.1,32.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492,1.1528329590602868
