target_vol_is,max_lev_is,vol_floor_is,cagr_pct_is,equity_dd_pct_is,sharpe_is,profit_factor_is,recovery_factor_is,trades_is,net_profit_is,years_is,vt_r,lev_r,vfl_r,calmar_is,target_vol_oos,max_lev_oos,vol_floor_oos,cagr_pct_oos,equity_dd_pct_oos,sharpe_oos,profit_factor_oos,recovery_factor_oos,trades_oos,net_profit_oos,years_oos,calmar_oos,cagr_avg,dd_max,sharpe_min
2.0,80.0,0.025,30.1154,20.4382,1.485,1.5439,3.805,585,18191.35,3.937,2.0,80.0,0.025,1.4734859234179136,2.0,80.0,0.025,21.0967,11.9382,1.1464,1.5463,2.4863,201,3305.9,1.492,1.7671592032299674,25.60605,20.4382,1.1464
2.0,80.0,0.02,30.1154,20.4382,1.485,1.5439,3.805,585,18191.35,3.937,2.0,80.0,0.02,1.4734859234179136,2.0,80.0,0.02,21.0967,11.9382,1.1464,1.5463,2.4863,201,3305.9,1.492,1.7671592032299674,25.60605,20.4382,1.1464
2.0,80.0,0.005,30.1154,20.4382,1.485,1.5439,3.805,585,18191.35,3.937,2.0,80.0,0.005,1.4734859234179136,2.0,80.0,0.005,21.0967,11.9382,1.1464,1.5463,2.4863,201,3305.9,1.492,1.7671592032299674,25.60605,20.4382,1.1464
2.0,80.0,0.01,30.1154,20.4382,1.485,1.5439,3.805,585,18191.35,3.937,2.0,80.0,0.01,1.4734859234179136,2.0,80.0,0.01,21.0967,11.9382,1.1464,1.5463,2.4863,201,3305.9,1.492,1.7671592032299674,25.60605,20.4382,1.1464
2.0,80.0,0.015,30.1154,20.4382,1.485,1.5439,3.805,585,18191.35,3.937,2.0,80.0,0.015,1.4734859234179136,2.0,80.0,0.015,21.0967,11.9382,1.1464,1.5463,2.4863,201,3305.9,1.492,1.7671592032299674,25.60605,20.4382,1.1464
2.0,80.0,0.03,29.2107,20.5594,1.4578,1.5294,3.7078,585,17427.44,3.937,2.0,80.0,0.03,1.420795353950018,2.0,80.0,0.03,19.7258,9.9767,1.1414,1.5063,2.3313,201,3081.76,1.492,1.9771868453496648,24.468249999999998,20.5594,1.1414
2.0,64.0,0.02,29.268300000000004,20.3988,1.4631,1.532,3.7515,585,17475.62,3.937,2.0,64.0,0.02,1.434804988528737,2.0,64.0,0.02,19.5081,9.5825,1.1445,1.5003,2.3423,201,3046.28,1.492,2.035804852595878,24.3882,20.3988,1.1445
2.0,64.0,0.015,29.268300000000004,20.3988,1.4631,1.532,3.7515,585,17475.62,3.937,2.0,64.0,0.015,1.434804988528737,2.0,64.0,0.015,19.5081,9.5825,1.1445,1.5003,2.3423,201,3046.28,1.492,2.035804852595878,24.3882,20.3988,1.1445
2.0,64.0,0.025,29.268300000000004,20.3988,1.4631,1.532,3.7515,585,17475.62,3.937,2.0,64.0,0.025,1.434804988528737,2.0,64.0,0.025,19.5081,9.5825,1.1445,1.5003,2.3423,201,3046.28,1.492,2.035804852595878,24.3882,20.3988,1.1445
2.0,64.0,0.03,29.268300000000004,20.3988,1.4631,1.532,3.7515,585,17475.62,3.937,2.0,64.0,0.03,1.434804988528737,2.0,64.0,0.03,19.5081,9.5825,1.1445,1.5003,2.3423,201,3046.28,1.492,2.035804852595878,24.3882,20.3988,1.1445
2.0,64.0,0.01,29.268300000000004,20.3988,1.4631,1.532,3.7515,585,17475.62,3.937,2.0,64.0,0.01,1.434804988528737,2.0,64.0,0.01,19.5081,9.5825,1.1445,1.5003,2.3423,201,3046.28,1.492,2.035804852595878,24.3882,20.3988,1.1445
2.0,64.0,0.005,29.268300000000004,20.3988,1.4631,1.532,3.7515,585,17475.62,3.937,2.0,64.0,0.005,1.434804988528737,2.0,64.0,0.005,19.5081,9.5825,1.1445,1.5003,2.3423,201,3046.28,1.492,2.035804852595878,24.3882,20.3988,1.1445
1.75,80.0,0.02,27.9178,19.3024,1.482,1.5479,3.8352,585,16362.74,3.937,1.75,80.0,0.02,1.4463382791777188,1.75,80.0,0.02,20.5413,11.9324,1.1709,1.5845,2.6014,201,3214.94,1.492,1.7214726291441789,24.22955,19.3024,1.1709
1.75,80.0,0.005,27.9178,19.3024,1.482,1.5479,3.8352,585,16362.74,3.937,1.75,80.0,0.005,1.4463382791777188,1.75,80.0,0.005,20.5413,11.9324,1.1709,1.5845,2.6014,201,3214.94,1.492,1.7214726291441789,24.22955,19.3024,1.1709
1.75,80.0,0.015,27.9178,19.3024,1.482,1.5479,3.8352,585,16362.74,3.937,1.75,80.0,0.015,1.4463382791777188,1.75,80.0,0.015,20.5413,11.9324,1.1709,1.5845,2.6014,201,3214.94,1.492,1.7214726291441789,24.22955,19.3024,1.1709
1.75,80.0,0.01,27.9178,19.3024,1.482,1.5479,3.8352,585,16362.74,3.937,1.75,80.0,0.01,1.4463382791777188,1.75,80.0,0.01,20.5413,11.9324,1.1709,1.5845,2.6014,201,3214.94,1.492,1.7214726291441789,24.22955,19.3024,1.1709
2.0,80.0,0.035,28.7985,20.396,1.4445,1.531,3.737,585,17084.55,3.937,2.0,80.0,0.035,1.4119680329476367,2.0,80.0,0.035,18.7464,9.2182,1.1222,1.4748,2.2669,201,2922.41,1.492,2.0336291249918643,23.77245,20.396,1.1222
