fold,cagr_max,cagr_median,sharpe_max,dd_max,n_configs
fold1_is,2.5861,0.859,0.6466,6.8349,64
fold1_oos,17.1959,11.2974,1.6691,8.5289,63
fold2_is,9.9777,6.497300000000001,1.3209,8.6669,64
fold2_oos,8.7363,6.4378,1.4117,10.1004,64
fold3_is,9.9896,6.7409,1.2171,11.1009,64
fold3_oos,22.564400000000003,15.501400000000002,2.7865,5.4814,64
fold4_is,10.2148,7.37315,1.2035,11.1009,64
fold4_oos,11.1498,6.48815,1.5791,6.2483,64
fold5_is,10.8712,7.668150000000001,1.2848,11.1009,64
fold5_oos,0.0028,-1.5677,0.0006,5.0162,62
