candidate,vt,lev,vfl,fold,is_oos,cagr_pct,sharpe,equity_dd_pct,profit_factor,trades,net_profit
C1_conservateur,0.75,64,0.02,fold1_is,is,6.7612000000000005,0.9911,4.2014,1.4309,75,629.61
C1_conservateur,0.75,64,0.02,fold1_oos,oos,31.2977,2.2498,9.1246,1.9616,168,3117.54
C1_conservateur,0.75,64,0.02,fold2_is,is,20.0494,1.8686,8.627,1.8325,243,4243.4
C1_conservateur,0.75,64,0.02,fold2_oos,oos,3.0921,0.2879,14.9854,1.0917,191,308.14
C1_conservateur,0.75,64,0.02,fold3_is,is,17.5244,1.5775,9.184,1.5713,432,6062.9
C1_conservateur,0.75,64,0.02,fold3_oos,oos,28.3651,2.2285,6.8048,2.3539,155,2834.32
C1_conservateur,0.75,64,0.02,fold4_is,is,17.069300000000002,1.4848,13.0038,1.5573,585,8597.85
C1_conservateur,0.75,64,0.02,fold4_oos,oos,21.8164,1.9715,5.6531,2.225,156,2173.42
C1_conservateur,0.75,64,0.02,fold5_is,is,17.6337,1.5463,13.0038,1.6026,740,12293.06
C1_conservateur,0.75,64,0.02,fold5_oos,oos,6.9609000000000005,1.0184,3.8952,1.4589,45,337.19
C2_median,1.0,64,0.02,fold1_is,is,9.006599999999999,1.0892,4.1633,1.5024,75,838.1
C2_median,1.0,64,0.02,fold1_oos,oos,35.6931,2.0773,11.9457,1.8961,168,3555.14
C2_median,1.0,64,0.02,fold2_is,is,24.5137,1.9098,9.7482,1.863,243,5286.51
C2_median,1.0,64,0.02,fold2_oos,oos,2.4874,0.1878,19.64,1.0637,191,247.88
C2_median,1.0,64,0.02,fold3_is,is,21.0648,1.5969,10.2857,1.5767,432,7524.9
C2_median,1.0,64,0.02,fold3_oos,oos,32.2736,2.1231,8.544,2.2849,155,3224.83
C2_median,1.0,64,0.02,fold4_is,is,20.544,1.5099,14.7112,1.569,585,10867.6
C2_median,1.0,64,0.02,fold4_oos,oos,25.732100000000003,1.8948,7.4995,2.2458,156,2563.36
C2_median,1.0,64,0.02,fold5_is,is,21.0138,1.5583,14.7112,1.6081,740,15639.05
C2_median,1.0,64,0.02,fold5_oos,oos,10.3206,1.204,4.2578,1.6193,45,495.95
C3_agressif,1.5,64,0.01,fold1_is,is,11.5999,1.0987,5.2324,1.5167,75,1078.55
C3_agressif,1.5,64,0.01,fold1_oos,oos,45.5202,2.0335,14.9805,1.874,168,4533.35
C3_agressif,1.5,64,0.01,fold2_is,is,30.5124,1.8899,11.959,1.831,243,6744.12
C3_agressif,1.5,64,0.01,fold2_oos,oos,1.9907,0.1185,25.2743,1.0414,191,198.38
C3_agressif,1.5,64,0.01,fold3_is,is,26.155800000000003,1.5788,12.7839,1.5572,432,9776.98
C3_agressif,1.5,64,0.01,fold3_oos,oos,40.0555,2.0636,10.6166,2.2379,155,4002.32
C3_agressif,1.5,64,0.01,fold4_is,is,25.4537,1.4894,17.771,1.5521,585,14419.25
C3_agressif,1.5,64,0.01,fold4_oos,oos,33.8538,1.9208,9.5791,2.3121,156,3372.03
C3_agressif,1.5,64,0.01,fold5_is,is,26.1002,1.5397,17.771,1.5976,740,21417.17
C3_agressif,1.5,64,0.01,fold5_oos,oos,13.5663,1.2496,5.2531,1.6551,45,647.01
