target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.1,8.0,0.01,4.7284,4.453,1.2246,1.3994,3.959,630,1994.85,3.937
0.1,8.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937
0.1,8.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937
0.1,8.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937
0.1,8.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937
0.1,8.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937
0.1,8.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937
0.1,8.0,0.08,1.8245999999999998,2.9851,0.9299,1.251,2.3726,630,737.83,3.937
0.1,16.0,0.08,1.8245999999999998,2.9851,0.9299,1.251,2.3726,630,737.83,3.937
0.1,16.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937
0.1,16.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937
0.1,16.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937
0.1,16.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937
0.1,16.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937
0.1,16.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937
0.1,16.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937
0.1,24.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937
0.1,24.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937
0.1,24.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937
0.1,24.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937
0.1,24.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937
0.1,24.0,0.08,1.8245999999999998,2.9851,0.9299,1.251,2.3726,630,737.83,3.937
0.1,24.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937
0.1,24.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937
0.1,32.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937
0.1,32.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937
0.1,32.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937
0.1,32.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937
0.1,32.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937
0.1,32.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937
0.1,32.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937
0.1,32.0,0.08,1.8245999999999998,2.9851,0.9299,1.251,2.3726,630,737.83,3.937
0.1,40.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937
0.1,40.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937
0.1,40.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937
0.1,40.0,0.08,1.8245999999999998,2.9851,0.9299,1.251,2.3726,630,737.83,3.937
0.1,40.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937
0.1,40.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937
0.1,40.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937
0.1,40.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937
0.1,48.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937
0.1,48.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937
0.1,48.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937
0.1,48.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937
0.1,48.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937
0.1,48.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937
0.1,48.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937
0.1,48.0,0.08,1.8245999999999998,2.9851,0.9299,1.251,2.3726,630,737.83,3.937
0.1,56.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937
0.1,56.0,0.08,1.8245999999999998,2.9851,0.9299,1.251,2.3726,630,737.83,3.937
0.1,56.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937
0.1,56.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937
0.1,56.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937
0.1,56.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937
0.1,56.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937
0.1,56.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937
0.1,64.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937
0.1,64.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937
0.1,64.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937
0.1,64.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937
0.1,64.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937
0.1,64.0,0.08,1.8245999999999998,2.9851,0.9299,1.251,2.3726,630,737.83,3.937
0.1,64.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937
0.1,64.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937
0.1,72.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937
0.1,72.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937
0.1,72.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937
0.1,72.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937
0.1,72.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937
0.1,72.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937
0.1,72.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937
0.1,72.0,0.08,1.8245999999999998,2.9851,0.9299,1.251,2.3726,630,737.83,3.937
0.1,80.0,0.05,2.4443,4.739,0.891,1.2522,1.9796,630,997.44,3.937
0.1,80.0,0.06,2.1344,4.1718,0.8894,1.2447,1.9709,630,867.01,3.937
0.1,80.0,0.07,1.9302,3.4718,0.9102,1.2465,2.1459,630,781.74,3.937
0.1,80.0,0.01,4.4478,4.4334,1.1565,1.372,3.7512,630,1868.8,3.937
0.1,80.0,0.02,4.4722,4.4329,1.2082,1.3867,3.8093,630,1879.72,3.937
0.1,80.0,0.03,4.0352,4.5005,1.2162,1.379,3.4012,630,1685.27,3.937
0.1,80.0,0.04,2.9488,5.1437,0.9595,1.2843,2.1904,630,1212.2,3.937
0.1,80.0,0.08,1.8245999999999998,2.9851,0.9299,1.251,2.3726,630,737.83,3.937
0.15,8.0,0.01,5.686999999999999,5.2922,1.2237,1.3987,3.9637,630,2432.95,3.937
0.15,8.0,0.02,5.556,5.2318,1.2046,1.3904,3.8168,630,2372.37,3.937
0.15,8.0,0.03,5.2635000000000005,5.3666,1.212,1.3967,3.6826,630,2237.96,3.937
0.15,8.0,0.04,4.4227,5.4939,1.1051,1.3486,3.0436,630,1857.58,3.937
0.15,8.0,0.05,3.6039000000000003,5.9922,0.979,1.2989,2.2816,630,1495.71,3.937
0.15,8.0,0.06,2.9613,5.6763,0.904,1.2656,1.9898,630,1217.53,3.937
0.15,8.0,0.07,2.6606,4.681,0.9456,1.2694,2.1822,630,1089.13,3.937
0.15,8.0,0.08,2.204,4.5531,0.865,1.2387,1.8571,630,896.21,3.937
0.15,16.0,0.07,2.6606,4.681,0.9456,1.2694,2.1822,630,1089.13,3.937
0.15,16.0,0.08,2.204,4.5531,0.865,1.2387,1.8571,630,896.21,3.937
0.15,16.0,0.01,5.2335,5.3516,1.0934,1.3613,3.5331,630,2224.2,3.937
0.15,16.0,0.02,5.556,5.2318,1.2046,1.3904,3.8168,630,2372.37,3.937
0.15,16.0,0.03,5.2635000000000005,5.3666,1.212,1.3967,3.6826,630,2237.96,3.937
0.15,16.0,0.04,4.4227,5.4939,1.1051,1.3486,3.0436,630,1857.58,3.937
0.15,16.0,0.05,3.6039000000000003,5.9922,0.979,1.2989,2.2816,630,1495.71,3.937
0.15,16.0,0.06,2.9613,5.6763,0.904,1.2656,1.9898,630,1217.53,3.937
0.15,24.0,0.03,5.2635000000000005,5.3666,1.212,1.3967,3.6826,630,2237.96,3.937
0.15,24.0,0.04,4.4227,5.4939,1.1051,1.3486,3.0436,630,1857.58,3.937
0.15,24.0,0.05,3.6039000000000003,5.9922,0.979,1.2989,2.2816,630,1495.71,3.937
0.15,24.0,0.06,2.9613,5.6763,0.904,1.2656,1.9898,630,1217.53,3.937
0.15,24.0,0.07,2.6606,4.681,0.9456,1.2694,2.1822,630,1089.13,3.937
0.15,24.0,0.08,2.204,4.5531,0.865,1.2387,1.8571,630,896.21,3.937
0.15,24.0,0.01,5.2335,5.3516,1.0934,1.3613,3.5331,630,2224.2,3.937
0.15,24.0,0.02,5.556,5.2318,1.2046,1.3904,3.8168,630,2372.37,3.937
0.15,32.0,0.01,5.2335,5.3516,1.0934,1.3613,3.5331,630,2224.2,3.937
0.15,32.0,0.02,5.556,5.2318,1.2046,1.3904,3.8168,630,2372.37,3.937
0.15,32.0,0.03,5.2635000000000005,5.3666,1.212,1.3967,3.6826,630,2237.96,3.937
0.15,32.0,0.04,4.4227,5.4939,1.1051,1.3486,3.0436,630,1857.58,3.937
0.15,32.0,0.05,3.6039000000000003,5.9922,0.979,1.2989,2.2816,630,1495.71,3.937
0.15,32.0,0.06,2.9613,5.6763,0.904,1.2656,1.9898,630,1217.53,3.937
0.15,32.0,0.07,2.6606,4.681,0.9456,1.2694,2.1822,630,1089.13,3.937
0.15,32.0,0.08,2.204,4.5531,0.865,1.2387,1.8571,630,896.21,3.937
0.15,40.0,0.05,3.6039000000000003,5.9922,0.979,1.2989,2.2816,630,1495.71,3.937
0.15,40.0,0.06,2.9613,5.6763,0.904,1.2656,1.9898,630,1217.53,3.937
0.15,40.0,0.07,2.6606,4.681,0.9456,1.2694,2.1822,630,1089.13,3.937
0.15,40.0,0.08,2.204,4.5531,0.865,1.2387,1.8571,630,896.21,3.937
0.15,40.0,0.01,5.2335,5.3516,1.0934,1.3613,3.5331,630,2224.2,3.937
0.15,40.0,0.02,5.556,5.2318,1.2046,1.3904,3.8168,630,2372.37,3.937
0.15,40.0,0.03,5.2635000000000005,5.3666,1.212,1.3967,3.6826,630,2237.96,3.937
0.15,40.0,0.04,4.4227,5.4939,1.1051,1.3486,3.0436,630,1857.58,3.937
0.15,48.0,0.01,5.2335,5.3516,1.0934,1.3613,3.5331,630,2224.2,3.937
0.15,48.0,0.02,5.556,5.2318,1.2046,1.3904,3.8168,630,2372.37,3.937
0.15,48.0,0.03,5.2635000000000005,5.3666,1.212,1.3967,3.6826,630,2237.96,3.937
0.15,48.0,0.04,4.4227,5.4939,1.1051,1.3486,3.0436,630,1857.58,3.937
0.15,48.0,0.05,3.6039000000000003,5.9922,0.979,1.2989,2.2816,630,1495.71,3.937
0.15,48.0,0.06,2.9613,5.6763,0.904,1.2656,1.9898,630,1217.53,3.937
0.15,48.0,0.07,2.6606,4.681,0.9456,1.2694,2.1822,630,1089.13,3.937
0.15,48.0,0.08,2.204,4.5531,0.865,1.2387,1.8571,630,896.21,3.937
0.15,56.0,0.07,2.6606,4.681,0.9456,1.2694,2.1822,630,1089.13,3.937
0.15,56.0,0.08,2.204,4.5531,0.865,1.2387,1.8571,630,896.21,3.937
0.15,56.0,0.01,5.2335,5.3516,1.0934,1.3613,3.5331,630,2224.2,3.937
0.15,56.0,0.02,5.556,5.2318,1.2046,1.3904,3.8168,630,2372.37,3.937
0.15,56.0,0.03,5.2635000000000005,5.3666,1.212,1.3967,3.6826,630,2237.96,3.937
0.15,56.0,0.04,4.4227,5.4939,1.1051,1.3486,3.0436,630,1857.58,3.937
0.15,56.0,0.05,3.6039000000000003,5.9922,0.979,1.2989,2.2816,630,1495.71,3.937
0.15,56.0,0.06,2.9613,5.6763,0.904,1.2656,1.9898,630,1217.53,3.937
0.15,64.0,0.02,5.556,5.2318,1.2046,1.3904,3.8168,630,2372.37,3.937
0.15,64.0,0.03,5.2635000000000005,5.3666,1.212,1.3967,3.6826,630,2237.96,3.937
0.15,64.0,0.04,4.4227,5.4939,1.1051,1.3486,3.0436,630,1857.58,3.937
0.15,64.0,0.05,3.6039000000000003,5.9922,0.979,1.2989,2.2816,630,1495.71,3.937
0.15,64.0,0.06,2.9613,5.6763,0.904,1.2656,1.9898,630,1217.53,3.937
0.15,64.0,0.07,2.6606,4.681,0.9456,1.2694,2.1822,630,1089.13,3.937
0.15,64.0,0.08,2.204,4.5531,0.865,1.2387,1.8571,630,896.21,3.937
0.15,64.0,0.01,5.2335,5.3516,1.0934,1.3613,3.5331,630,2224.2,3.937
0.15,72.0,0.01,5.2335,5.3516,1.0934,1.3613,3.5331,630,2224.2,3.937
0.15,72.0,0.02,5.556,5.2318,1.2046,1.3904,3.8168,630,2372.37,3.937
0.15,72.0,0.03,5.2635000000000005,5.3666,1.212,1.3967,3.6826,630,2237.96,3.937
0.15,72.0,0.04,4.4227,5.4939,1.1051,1.3486,3.0436,630,1857.58,3.937
0.15,72.0,0.05,3.6039000000000003,5.9922,0.979,1.2989,2.2816,630,1495.71,3.937
0.15,72.0,0.06,2.9613,5.6763,0.904,1.2656,1.9898,630,1217.53,3.937
0.15,72.0,0.07,2.6606,4.681,0.9456,1.2694,2.1822,630,1089.13,3.937
0.15,72.0,0.08,2.204,4.5531,0.865,1.2387,1.8571,630,896.21,3.937
0.15,80.0,0.04,4.4227,5.4939,1.1051,1.3486,3.0436,630,1857.58,3.937
0.15,80.0,0.05,3.6039000000000003,5.9922,0.979,1.2989,2.2816,630,1495.71,3.937
0.15,80.0,0.06,2.9613,5.6763,0.904,1.2656,1.9898,630,1217.53,3.937
0.15,80.0,0.07,2.6606,4.681,0.9456,1.2694,2.1822,630,1089.13,3.937
0.15,80.0,0.01,5.2335,5.3516,1.0934,1.3613,3.5331,630,2224.2,3.937
0.15,80.0,0.02,5.556,5.2318,1.2046,1.3904,3.8168,630,2372.37,3.937
0.15,80.0,0.03,5.2635000000000005,5.3666,1.212,1.3967,3.6826,630,2237.96,3.937
0.15,80.0,0.08,2.204,4.5531,0.865,1.2387,1.8571,630,896.21,3.937
0.2,8.0,0.01,6.188,6.0363,1.1623,1.3814,3.7154,630,2666.6,3.937
0.2,8.0,0.02,6.188,6.0363,1.1623,1.3814,3.7154,630,2666.6,3.937
0.2,8.0,0.03,6.1818,5.9563,1.1873,1.3903,3.7977,630,2663.69,3.937
0.2,8.0,0.04,5.7015,5.9776,1.184,1.3853,3.5693,630,2439.66,3.937
0.2,8.0,0.05,4.8868,6.4776,1.0877,1.3451,2.8334,630,2066.42,3.937
0.2,8.0,0.06,3.8139,6.8442,0.9209,1.2825,2.0979,630,1587.75,3.937
0.2,8.0,0.07,3.4699,6.222,0.9368,1.28,2.1155,630,1437.29,3.937
0.2,8.0,0.08,2.9691,5.7034,0.9032,1.2648,1.9858,630,1220.89,3.937
0.2,16.0,0.07,3.4699,6.222,0.9368,1.28,2.1155,630,1437.29,3.937
0.2,16.0,0.08,2.9691,5.7034,0.9032,1.2648,1.9858,630,1220.89,3.937
0.2,16.0,0.01,6.2248,6.0181,1.1401,1.3758,3.6685,630,2683.9,3.937
0.2,16.0,0.02,6.5224,6.0318,1.1837,1.3948,3.812,630,2824.35,3.937
0.2,16.0,0.03,6.1818,5.9563,1.1873,1.3903,3.7977,630,2663.69,3.937
0.2,16.0,0.04,5.7015,5.9776,1.184,1.3853,3.5693,630,2439.66,3.937
0.2,16.0,0.05,4.8868,6.4776,1.0877,1.3451,2.8334,630,2066.42,3.937
