target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.1,8.0,0.01,3.2488,2.2672,1.0852,1.3993,2.1179,206,488.61,1.492
0.1,8.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492
0.1,8.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492
0.1,8.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492
0.1,8.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492
0.1,8.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492
0.1,8.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492
0.1,8.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492
0.1,16.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492
0.1,16.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492
0.1,16.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492
0.1,16.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492
0.1,16.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492
0.1,16.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492
0.1,16.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492
0.1,16.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492
0.1,24.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492
0.1,24.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492
0.1,24.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492
0.1,24.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492
0.1,24.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492
0.1,24.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492
0.1,24.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492
0.1,24.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492
0.1,32.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492
0.1,32.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492
0.1,32.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492
0.1,32.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492
0.1,32.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492
0.1,32.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492
0.1,32.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492
0.1,32.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492
0.1,40.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492
0.1,40.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492
0.1,40.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492
0.1,40.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492
0.1,40.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492
0.1,40.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492
0.1,40.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492
0.1,40.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492
0.1,48.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492
0.1,48.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492
0.1,48.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492
0.1,48.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492
0.1,48.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492
0.1,48.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492
0.1,48.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492
0.1,48.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492
0.1,56.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492
0.1,56.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492
0.1,56.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492
0.1,56.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492
0.1,56.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492
0.1,56.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492
0.1,56.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492
0.1,56.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492
0.1,64.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492
0.1,64.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492
0.1,64.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492
0.1,64.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492
0.1,64.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492
0.1,64.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492
0.1,64.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492
0.1,64.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492
0.1,72.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492
0.1,72.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492
0.1,72.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492
0.1,72.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492
0.1,72.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492
0.1,72.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492
0.1,72.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492
0.1,72.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492
0.1,80.0,0.05,2.6733,2.1127,1.2504,1.4665,1.8718,206,401.51,1.492
0.1,80.0,0.06,2.7897000000000003,1.8453,1.4218,1.5243,2.2386,206,419.11,1.492
0.1,80.0,0.07,2.8566000000000003,1.6275,1.5621,1.5756,2.5993,206,429.23,1.492
0.1,80.0,0.01,3.2615,2.2672,1.0841,1.4008,2.095,206,490.54,1.492
0.1,80.0,0.02,2.6695,2.3156,0.9282,1.3313,1.7036,206,400.93,1.492
0.1,80.0,0.03,2.5919000000000003,2.2283,0.9746,1.3813,1.7157,206,389.2,1.492
0.1,80.0,0.04,2.5765,2.3177,1.0939,1.4097,1.6416,206,386.87,1.492
0.1,80.0,0.08,2.8683,1.4208,1.659,1.6088,2.9937,206,431.0,1.492
0.15,8.0,0.01,2.7292,3.1877,0.7442,1.2623,1.2606,206,409.96,1.492
0.15,8.0,0.02,2.9169,3.0382,0.7997,1.2841,1.4149,206,438.35,1.492
0.15,8.0,0.03,2.6502000000000003,2.6233,0.7875,1.2962,1.4916,206,398.01,1.492
0.15,8.0,0.04,2.4953,2.7285,0.8219,1.3254,1.3468,206,374.61,1.492
0.15,8.0,0.05,2.1574,3.0309,0.7773,1.2962,1.0496,206,323.62,1.492
0.15,8.0,0.06,2.6368,2.4291,1.0797,1.4086,1.6033,206,395.98,1.492
0.15,8.0,0.07,2.8483,2.1622,1.2868,1.4897,1.9481,206,427.97,1.492
0.15,8.0,0.08,2.8319,1.895,1.4049,1.5232,2.2113,206,425.48,1.492
0.15,16.0,0.07,2.8483,2.1622,1.2868,1.4897,1.9481,206,427.97,1.492
0.15,16.0,0.08,2.8319,1.895,1.4049,1.5232,2.2113,206,425.48,1.492
0.15,16.0,0.01,2.8069,3.2792,0.7452,1.2672,1.259,206,421.7,1.492
0.15,16.0,0.02,2.9169,3.0382,0.7997,1.2841,1.4149,206,438.35,1.492
0.15,16.0,0.03,2.6502000000000003,2.6233,0.7875,1.2962,1.4916,206,398.01,1.492
0.15,16.0,0.04,2.4953,2.7285,0.8219,1.3254,1.3468,206,374.61,1.492
0.15,16.0,0.05,2.1574,3.0309,0.7773,1.2962,1.0496,206,323.62,1.492
0.15,16.0,0.06,2.6368,2.4291,1.0797,1.4086,1.6033,206,395.98,1.492
0.15,24.0,0.03,2.6502000000000003,2.6233,0.7875,1.2962,1.4916,206,398.01,1.492
0.15,24.0,0.04,2.4953,2.7285,0.8219,1.3254,1.3468,206,374.61,1.492
