i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,m5_close,ts_decision_utc,ts_fill_utc,ts_exit_utc
472.0,2357.0,2386.0,478.0,-1.0,4.0,1290.0,1291.2839552782973,1280.0,5.183140711714097,0.13,1289.365,1291.2839552782973,1.0,0.0,-1.0,-1.0,0.0,0.0,24.946418617864765,10000.0,9975.053581382135,1.147910556594678,0.29,6.0,REV_SHORT,STOP,1289.604,2019-01-03 15:20:00,2019-01-03 15:25:00,2019-01-03 15:54:00
744.0,3712.0,3951.0,792.0,1.0,3.0,1280.0,1275.8983042242685,1290.0,2.232705843736779,0.05,1280.1565,1283.499,3.0,-1.0,-1.0,-1.0,1.0,1.0,21.290978878657825,9975.053581382135,9991.766081382135,1.6013915514632044,0.29,48.0,REV_LONG,TIME,1280.1155,2019-01-04 15:00:00,2019-01-04 15:05:00,2019-01-04 19:04:00
1277.0,6367.0,6606.0,1325.0,1.0,3.0,1280.0,1279.0296005181094,1290.0,4.486847216503813,0.26,1280.932,1284.489,3.0,-1.0,-1.0,1.0,1.0,0.0,49.46238652915554,9991.766081382135,10084.248081382135,0.7217989637810066,0.29,48.0,REV_LONG,TIME,1280.884,2019-01-08 13:25:00,2019-01-08 13:30:00,2019-01-08 17:29:00
1611.0,8032.0,8249.0,1655.0,1.0,1.0,1290.0,1289.302769196418,1300.0,4.1721649175008775,0.25,1291.2755,1293.284,4.0,1.0,1.0,1.0,0.0,0.0,49.31827008954883,10084.248081382135,10134.460581382138,0.6972308035819378,0.29,44.0,BREAK_LONG,SESSION,1291.226,2019-01-09 18:15:00,2019-01-09 18:20:00,2019-01-09 21:57:00
1863.0,9287.0,9526.0,1911.0,-1.0,2.0,1290.0,1290.6653976135012,1280.0,4.683975260232912,0.12,1288.698,1287.2235,3.0,1.0,1.0,-1.0,0.0,0.0,23.608771362013613,10134.460581382138,10152.15458138214,0.6653976135011904,0.29,48.0,BREAK_SHORT,TIME,1288.934,2019-01-10 16:15:00,2019-01-10 16:20:00,2019-01-10 20:19:00
2117.0,10552.0,10611.0,2129.0,-1.0,2.0,1290.0,1290.9737130060216,1280.0,2.8146707659231076,0.08,1288.054,1290.9737130060216,1.0,1.0,1.0,-1.0,0.0,0.0,23.35770404817231,10152.15458138214,10128.796877333967,0.9737130060215475,0.29,12.0,BREAK_SHORT,STOP,1288.242,2019-01-11 14:25:00,2019-01-11 14:30:00,2019-01-11 15:29:00
2658.0,13247.0,13249.0,2659.0,-1.0,2.0,1290.0,1290.6202763288948,1280.0,9.097466578331874,0.52,1289.659,1290.6202763288948,1.0,1.0,1.0,1.0,0.0,1.0,49.986369102522076,10128.796877333967,10078.810508231445,0.6202763288948298,0.29,1.0,BREAK_SHORT,STOP,1289.7135,2019-01-15 13:30:00,2019-01-15 13:35:00,2019-01-15 13:37:00
2797.0,13937.0,14132.0,2837.0,-1.0,2.0,1290.0,1290.4393379600506,1280.0,9.578573567960829,0.48,1289.4105,1290.4393379600506,1.0,1.0,1.0,1.0,0.0,0.0,49.384222082429915,10078.810508231445,10029.426286149015,0.43933796005067005,0.29,40.0,BREAK_SHORT,STOP,1289.5975,2019-01-16 02:05:00,2019-01-16 02:10:00,2019-01-16 05:25:00
2901.0,14457.0,14607.0,2932.0,-1.0,4.0,1290.0,1290.3928674349656,1280.0,12.999627334738841,0.78,1289.752,1290.3928674349656,1.0,1.0,1.0,1.0,0.0,0.0,49.98765992732343,10029.426286149015,9979.438626221692,0.43373486993158156,0.29,31.0,REV_SHORT,STOP,1289.7955,2019-01-16 10:45:00,2019-01-16 10:50:00,2019-01-16 13:20:00
3708.0,18477.0,18716.0,3756.0,-1.0,2.0,1280.0,1280.5469654666583,1270.0,5.464718795587896,0.32,1279.011,1277.857,3.0,1.0,1.0,1.0,0.0,0.0,49.15089493306732,9979.438626221692,10016.366626221692,0.5469654666583664,0.29,48.0,BREAK_SHORT,TIME,1279.0605,2019-01-21 09:00:00,2019-01-21 09:05:00,2019-01-21 13:04:00
4959.0,24712.0,24749.0,4967.0,1.0,1.0,1300.0,1299.1368362349588,1310.0,1.8000271216611117,0.13,1302.9095,1302.599,4.0,1.0,1.0,1.0,0.0,0.0,49.044628945535806,10016.366626221692,10012.330126221692,0.8631637650412675,0.29,8.0,BREAK_LONG,SESSION,1302.8715,2019-01-25 21:15:00,2019-01-25 21:20:00,2019-01-25 21:57:00
