ts_decision,ts_fill,ts_exit,i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,ts_decision_utc,ts_fill_utc,ts_exit_utc,m5_close
2019-01-03 00:55:00,2019-01-03 01:00:00,2019-01-03 01:22:00,359.0,1791.0,1813.0,364.0,-1.0,4.0,1290.0,1290.6546202782347,1280.0,11.983618076262223,0.68,1289.929,1290.6546202782347,1.0,0.0,-1.0,1.0,0.0,1.0,49.342178919952865,10000.0,9950.657821080047,0.5002405564691879,0.29,5.0,REV_SHORT,STOP,2019-01-03 05:55:00,2019-01-03 06:00:00,2019-01-03 06:22:00,1289.979
2019-01-03 10:20:00,2019-01-03 10:25:00,2019-01-03 10:55:00,472.0,2356.0,2386.0,479.0,-1.0,4.0,1290.0,1291.2799799674215,1280.0,6.720831372745944,0.15,1289.717,1291.2799799674215,1.0,0.0,-1.0,-1.0,0.0,1.0,23.44469951132055,9950.657821080047,9927.213121568726,1.1399599348430534,0.29,7.0,REV_SHORT,STOP,2019-01-03 15:20:00,2019-01-03 15:25:00,2019-01-03 15:55:00,1289.964
2019-01-04 08:55:00,2019-01-04 09:00:00,2019-01-04 09:46:00,731.0,3646.0,3692.0,741.0,-1.0,2.0,1290.0,1291.135964505091,1280.0,2.116729676218224,0.07,1287.6565,1280.0,2.0,1.0,1.0,-1.0,0.0,0.0,24.356251535635923,9927.213121568726,9980.808621568727,1.1359645050909686,0.29,10.0,BREAK_SHORT,TARGET,2019-01-04 13:55:00,2019-01-04 14:00:00,2019-01-04 14:46:00,1287.708
2019-01-08 08:25:00,2019-01-08 08:30:00,2019-01-08 12:29:00,1277.0,6366.0,6605.0,1325.0,1.0,3.0,1280.0,1279.0151790091506,1290.0,3.8934062161870036,0.23,1281.152,1284.321,3.0,-1.0,-1.0,1.0,1.0,0.0,49.14688278953622,9980.808621568727,10053.695621568724,0.7506419816985201,0.29,48.0,REV_LONG,TIME,2019-01-08 13:25:00,2019-01-08 13:30:00,2019-01-08 17:29:00,1281.115
2019-01-10 20:50:00,2019-01-10 20:55:00,2019-01-10 21:21:00,1966.0,9796.0,9822.0,1972.0,-1.0,4.0,1290.0,1290.5648398010592,1280.0,7.071912080080482,0.18,1289.2135,1290.5648398010592,1.0,-1.0,-1.0,-1.0,0.0,0.0,24.324116419064012,10053.695621568724,10029.37150514966,0.5686796021180249,0.29,6.0,REV_SHORT,STOP,2019-01-11 01:50:00,2019-01-11 01:55:00,2019-01-11 02:21:00,1289.401
2019-01-11 09:25:00,2019-01-11 09:30:00,2019-01-11 10:30:00,2117.0,10551.0,10611.0,2130.0,-1.0,2.0,1290.0,1291.0084892929776,1280.0,2.9936629977204525,0.08,1288.2095,1291.0084892929776,1.0,1.0,1.0,-1.0,0.0,0.0,22.391914343821554,10029.37150514966,10006.979590805839,1.0084892929775158,0.29,13.0,BREAK_SHORT,STOP,2019-01-11 14:25:00,2019-01-11 14:30:00,2019-01-11 15:30:00,1288.397
2019-01-16 00:35:00,2019-01-16 00:40:00,2019-01-16 02:59:00,2839.0,14146.0,14285.0,2867.0,1.0,1.0,1290.0,1289.6904921899177,1300.0,8.103255375635692,0.22,1290.7785,1289.6904921899177,1.0,1.0,1.0,-1.0,0.0,0.0,23.936171821808784,10006.979590805839,9983.04341898403,0.3095078100823034,0.29,28.0,BREAK_LONG,STOP,2019-01-16 05:35:00,2019-01-16 05:40:00,2019-01-16 07:59:00,1290.678
2019-01-22 10:35:00,2019-01-22 10:40:00,2019-01-22 14:39:00,4063.0,20246.0,20485.0,4111.0,1.0,3.0,1280.0,1278.9511073612373,1290.0,7.215445843266013,0.19,1280.2525,1284.9985,3.0,-1.0,-1.0,-1.0,0.0,1.0,24.726460136492506,9983.04341898403,10073.217418984028,0.7897852775254113,0.29,48.0,REV_LONG,TIME,2019-01-22 15:35:00,2019-01-22 15:40:00,2019-01-22 19:39:00,1280.151
2019-01-24 05:50:00,2019-01-24 05:55:00,2019-01-24 08:54:00,4558.0,22711.0,22890.0,4594.0,-1.0,4.0,1280.0,1280.5378924299598,1270.0,9.634749152728201,0.48,1279.506,1280.5378924299598,1.0,1.0,1.0,1.0,1.0,0.0,49.53083663806683,10073.217418984028,10023.686582345961,0.470784859919668,0.29,36.0,REV_SHORT,STOP,2019-01-24 10:50:00,2019-01-24 10:55:00,2019-01-24 13:54:00,1279.692
2019-01-25 16:15:00,2019-01-25 16:20:00,2019-01-25 16:58:00,4959.0,24711.0,24749.0,4967.0,1.0,1.0,1300.0,1299.1703508473606,1310.0,1.9431200376458688,0.13,1302.891,1302.599,4.0,1.0,1.0,1.0,0.0,0.0,48.36843898431289,10023.686582345961,10019.890582345959,0.8296491526394142,0.29,8.0,BREAK_LONG,SESSION,2019-01-25 21:15:00,2019-01-25 21:20:00,2019-01-25 21:58:00,1302.705
2019-01-30 09:15:00,2019-01-30 09:20:00,2019-01-30 13:19:00,5703.0,28416.0,28655.0,5751.0,1.0,3.0,1310.0,1309.1541947933454,1320.0,4.5610809885796595,0.13,1311.062,1310.876,3.0,1.0,-1.0,-1.0,1.0,0.0,24.80146768650889,10019.890582345959,10017.47258234596,0.7536104133089647,0.29,48.0,REV_LONG,TIME,2019-01-30 14:15:00,2019-01-30 14:20:00,2019-01-30 18:19:00,1310.9595
