entry_n,exit_n,symbol,source,n_bars,first_date,last_date,sharpe_net,cagr_net,maxdd,trades_total,trades_per_year,exposure_median,years_in_window,status
55,27,US100,yahoo,9067,1990-01-02,2025-12-31,0.5477709749241338,0.13934800481152254,-0.8143175572240964,88,2.4457924341016875,1.580800759809482,35.98015873015873,OK
55,13,US100,yahoo,9067,1990-01-02,2025-12-31,0.30872216926589785,0.04798059354453499,-0.8224735315285132,154,4.280136759677953,0.0,35.98015873015873,OK
100,50,US100,yahoo,9067,1990-01-02,2025-12-31,0.4586119311824473,0.10669049811143871,-0.8908242390304228,46,1.278482408734973,1.6769552567440822,35.98015873015873,OK
100,25,US100,yahoo,9067,1990-01-02,2025-12-31,0.5509774142053109,0.13840369460098167,-0.5967216060288132,79,2.195654571523106,0.0,35.98015873015873,OK
252,126,US100,yahoo,9067,1990-01-02,2025-12-31,0.5565510833752711,0.15668955290161768,-0.7518573786414178,19,0.528068820999228,1.8515430013265213,35.98015873015873,OK
252,63,US100,yahoo,9067,1990-01-02,2025-12-31,0.3915653111498925,0.07726863443333176,-0.8590126222016647,37,1.0283445461563914,1.2913407063734508,35.98015873015873,OK
55,27,XAU-USD,qc,1824,2019-01-02,2025-12-31,1.1951172999854394,0.530442337051874,-0.4003894771710772,13,1.7960526315789473,0.0,7.238095238095238,OK
55,13,XAU-USD,qc,1824,2019-01-02,2025-12-31,0.8900685797547379,0.3176086442367405,-0.41062869826555015,22,3.039473684210526,0.0,7.238095238095238,OK
100,50,XAU-USD,qc,1824,2019-01-02,2025-12-31,0.8286827248026265,0.2695694140058553,-0.6185616343597888,6,0.8289473684210527,1.6483192132331355,7.238095238095238,OK
100,25,XAU-USD,qc,1824,2019-01-02,2025-12-31,0.9575947110493908,0.3766749939039362,-0.5508080083419395,13,1.7960526315789473,0.0,7.238095238095238,OK
252,126,XAU-USD,qc,1824,2019-01-02,2025-12-31,0.7267186490435574,0.26595731462130323,-0.772481818956172,3,0.4144736842105263,2.019788774916718,7.238095238095238,OK
252,63,XAU-USD,qc,1824,2019-01-02,2025-12-31,0.5876709463353821,0.1597064129101904,-0.7530563716338919,4,0.5526315789473684,0.0,7.238095238095238,OK
55,27,GER40,yahoo,9107,1990-01-02,2025-12-30,0.3482126055795717,0.061926164085949864,-0.739934069021617,87,2.407378939277479,0.0,36.138888888888886,OK
55,13,GER40,yahoo,9107,1990-01-02,2025-12-30,0.33132029560357174,0.05542614641796484,-0.6597848981485824,136,3.7632590315142203,0.0,36.138888888888886,OK
100,50,GER40,yahoo,9107,1990-01-02,2025-12-30,0.431151206586342,0.0937375622670018,-0.6694168815823052,44,1.2175249807840125,0.0,36.138888888888886,OK
100,25,GER40,yahoo,9107,1990-01-02,2025-12-30,0.3931032193068881,0.07508577263440319,-0.8383408678068313,74,2.0476556495003844,0.0,36.138888888888886,OK
252,126,GER40,yahoo,9107,1990-01-02,2025-12-30,0.5776545588063826,0.15065533577863066,-0.7214015193160491,13,0.35972328977709456,1.696972145811909,36.138888888888886,OK
252,63,GER40,yahoo,9107,1990-01-02,2025-12-30,0.5632933349811743,0.14496591646348622,-0.5516204146075798,26,0.7194465795541891,0.0,36.138888888888886,OK
55,27,US500,yahoo,9067,1990-01-02,2025-12-31,0.16202397862671739,-0.0017419001102420006,-0.8007259476697532,94,2.6125510091540756,1.9822743496441881,35.98015873015873,OK
55,13,US500,yahoo,9067,1990-01-02,2025-12-31,0.1595773580111871,0.004627006019201074,-0.8695727390045639,144,4.002205801257307,0.0,35.98015873015873,OK
100,50,US500,yahoo,9067,1990-01-02,2025-12-31,0.5036497258356003,0.11983858620020538,-0.6326833749207359,43,1.1951031212087793,2.3847858394583366,35.98015873015873,OK
