config,mode,fast_n,slow_n,instrument,source,n_bars,first_date,last_date,sharpe_net,cagr_net,maxdd,trades_total,trades_per_year,years_in_window
gate_63_252,gate,63,252,US100,yahoo,9067,1990-01-02,2025-12-31,0.4687184744129439,0.061959153421609514,-0.46183096716467775,110,3.0572405426271096,35.98015873015873
brake_63_252,brake,63,252,US100,yahoo,9067,1990-01-02,2025-12-31,0.7618139498688391,0.16669626044509078,-0.47573825278962156,209,5.808757030991508,35.98015873015873
gate_21_126,gate,21,126,US100,yahoo,9067,1990-01-02,2025-12-31,0.44895368322103224,0.0527829510726221,-0.3486736449933916,128,3.557516267784273,35.98015873015873
brake_21_126,brake,21,126,US100,yahoo,9067,1990-01-02,2025-12-31,0.7489457632937255,0.17002361019010404,-0.4452221070264928,209,5.808757030991508,35.98015873015873
tsmom_ref,tsmom_ref,0,0,US100,yahoo,9067,1990-01-02,2025-12-31,0.7819286382933516,0.23770457113042753,-0.5605057889399525,209,5.808757030991508,35.98015873015873
gate_63_252,gate,63,252,XAU-USD,qc,1824,2019-01-02,2025-12-31,-0.8964393206421152,-0.1623597192021753,-0.7307764021976186,29,4.006578947368421,7.238095238095238
brake_63_252,brake,63,252,XAU-USD,qc,1824,2019-01-02,2025-12-31,0.5351156391828051,0.118900852531721,-0.65318127306542,43,5.940789473684211,7.238095238095238
gate_21_126,gate,21,126,XAU-USD,qc,1824,2019-01-02,2025-12-31,-0.3845397479423006,-0.06279475041607263,-0.5399979631047226,19,2.625,7.238095238095238
brake_21_126,brake,21,126,XAU-USD,qc,1824,2019-01-02,2025-12-31,0.49756396366082406,0.10459844517611994,-0.696714281330231,43,5.940789473684211,7.238095238095238
tsmom_ref,tsmom_ref,0,0,XAU-USD,qc,1824,2019-01-02,2025-12-31,0.7380855728276454,0.24515605078203007,-0.8088254943865969,43,5.940789473684211,7.238095238095238
gate_63_252,gate,63,252,GER40,yahoo,9107,1990-01-02,2025-12-30,0.14363259411313575,0.009751710715683481,-0.6602497948631346,113,3.126825518831668,36.138888888888886
brake_63_252,brake,63,252,GER40,yahoo,9107,1990-01-02,2025-12-30,0.5244392407076974,0.10745654316173092,-0.5559112779799401,233,6.447348193697157,36.138888888888886
gate_21_126,gate,21,126,GER40,yahoo,9107,1990-01-02,2025-12-30,0.098120846052764,0.004150229300764252,-0.4856905356197201,139,3.846272098385857,36.138888888888886
brake_21_126,brake,21,126,GER40,yahoo,9107,1990-01-02,2025-12-30,0.521549593878502,0.10733927728976589,-0.6355509694010586,233,6.447348193697157,36.138888888888886
tsmom_ref,tsmom_ref,0,0,GER40,yahoo,9107,1990-01-02,2025-12-30,0.5345501076908388,0.13329116415401066,-0.6420611458320766,233,6.447348193697157,36.138888888888886
gate_63_252,gate,63,252,US500,yahoo,9067,1990-01-02,2025-12-31,0.2180342562656559,0.021689569946754528,-0.5383224637511521,115,3.196206021837433,35.98015873015873
brake_63_252,brake,63,252,US500,yahoo,9067,1990-01-02,2025-12-31,0.4769274005989349,0.08484776829259011,-0.5103342903937976,219,6.086687989412154,35.98015873015873
gate_21_126,gate,21,126,US500,yahoo,9067,1990-01-02,2025-12-31,0.39803091625349474,0.04274434156265117,-0.347124149826458,153,4.252343663835889,35.98015873015873
brake_21_126,brake,21,126,US500,yahoo,9067,1990-01-02,2025-12-31,0.491752831786714,0.0932411534079498,-0.46753751905493757,219,6.086687989412154,35.98015873015873
tsmom_ref,tsmom_ref,0,0,US500,yahoo,9067,1990-01-02,2025-12-31,0.5098362041437144,0.12033831867946465,-0.6223751734009233,219,6.086687989412154,35.98015873015873
gate_63_252,gate,63,252,USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.30751953639929724,0.03976148953896974,-0.3778626671033466,33,4.009643201542913,8.23015873015873
brake_63_252,brake,63,252,USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.4109797015647574,0.06422521413812698,-0.3778626671033489,50,6.075216972034716,8.23015873015873
gate_21_126,gate,21,126,USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.21879178971093066,0.021418543314223326,-0.2446715697632863,41,4.981677917068467,8.23015873015873
brake_21_126,brake,21,126,USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.5603405666735568,0.10958393897062346,-0.36601414178701264,50,6.075216972034716,8.23015873015873
tsmom_ref,tsmom_ref,0,0,USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.509456231267127,0.10682421968232347,-0.3977634315602325,50,6.075216972034716,8.23015873015873
gate_63_252,gate,63,252,JPN225,mt5,973,2022-11-03,2025-12-31,0.09255376401914721,-0.0018124855520962324,-0.40045503437085817,18,4.661870503597123,3.861111111111111
brake_63_252,brake,63,252,JPN225,mt5,973,2022-11-03,2025-12-31,0.5843611528957597,0.15332161636505903,-0.5226994839384971,30,7.76978417266187,3.861111111111111
gate_21_126,gate,21,126,JPN225,mt5,973,2022-11-03,2025-12-31,0.004526564267734872,-0.013663568094131162,-0.2614609907872165,18,4.661870503597123,3.861111111111111
brake_21_126,brake,21,126,JPN225,mt5,973,2022-11-03,2025-12-31,0.7211231487775395,0.21969386623234066,-0.5087594595137899,30,7.76978417266187,3.861111111111111
tsmom_ref,tsmom_ref,0,0,JPN225,mt5,973,2022-11-03,2025-12-31,0.44794817910938156,0.10422665253351582,-0.6427555991430532,30,7.76978417266187,3.861111111111111
gate_63_252,gate,63,252,EUR-JPY,mt5,986,2022-11-03,2025-12-31,0.08126842013999835,0.0027316345938868114,-0.1894776620103854,16,4.089249492900609,3.9126984126984126
brake_63_252,brake,63,252,EUR-JPY,mt5,986,2022-11-03,2025-12-31,0.2450064181842154,0.029068763814056764,-0.36916107047098934,12,3.0669371196754565,3.9126984126984126
gate_21_126,gate,21,126,EUR-JPY,mt5,986,2022-11-03,2025-12-31,-0.4654822653057381,-0.05086933116566206,-0.25208243317581835,18,4.600405679513185,3.9126984126984126
brake_21_126,brake,21,126,EUR-JPY,mt5,986,2022-11-03,2025-12-31,0.37786729200360464,0.05891223871609452,-0.30998021066076664,12,3.0669371196754565,3.9126984126984126
tsmom_ref,tsmom_ref,0,0,EUR-JPY,mt5,986,2022-11-03,2025-12-31,0.4275773586343434,0.08081392113935526,-0.44434149891334074,12,3.0669371196754565,3.9126984126984126
gate_63_252,gate,63,252,US30,yahoo,8561,1992-01-02,2025-12-31,0.09937977333104986,0.0017327887620282034,-0.6186772603363642,165,4.856909239574816,33.97222222222222
brake_63_252,brake,63,252,US30,yahoo,8561,1992-01-02,2025-12-31,0.3600338061569158,0.05786966689584028,-0.6337595292378253,256,7.53556827473426,33.97222222222222
gate_21_126,gate,21,126,US30,yahoo,8561,1992-01-02,2025-12-31,0.2485499962210822,0.027017179320851126,-0.5072173066757752,198,5.828291087489779,33.97222222222222
brake_21_126,brake,21,126,US30,yahoo,8561,1992-01-02,2025-12-31,0.3594369346161205,0.06132652348210277,-0.6338879705804914,256,7.53556827473426,33.97222222222222
tsmom_ref,tsmom_ref,0,0,US30,yahoo,8561,1992-01-02,2025-12-31,0.37128271247010736,0.06972389428292525,-0.7814229528929566,256,7.53556827473426,33.97222222222222
gate_63_252,gate,63,252,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.3551279974820014,0.06393091321817579,-0.38621027080041026,15,3.9170984455958546,3.8293650793650795
brake_63_252,brake,63,252,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.34661795944625945,0.06245244712527587,-0.38621027080040904,21,5.4839378238341965,3.8293650793650795
gate_21_126,gate,21,126,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.41973367652828164,0.05685064124884209,-0.1978048349385364,18,4.7005181347150256,3.8293650793650795
brake_21_126,brake,21,126,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.24784418004474487,0.029508135702043248,-0.3209530336182548,21,5.4839378238341965,3.8293650793650795
tsmom_ref,tsmom_ref,0,0,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.298744990679509,0.042742920669660345,-0.38621027080040904,21,5.4839378238341965,3.8293650793650795
gate_63_252,gate,63,252,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,0.1053915042331193,0.00027974621687687495,-0.6537645274696227,102,4.03833464257659,25.25793650793651
