scope,name,n_positions,net_total,net_insample,net_frozen,share_of_net,opened,closed
sleeve,GOLD_MOMENTUM,93,62420.67,11509.52,50911.15,0.9108,,
sleeve,MR_MACRO,304,1183.65,1183.65,0.0,0.0173,,
sleeve,RSI_DAILY,33,1234.93,1168.56,66.37,0.018,,
sleeve,TS_MOMENTUM,479,3694.91,6381.66,-2686.75,0.0539,,
instrument,EURUSD.c,269,-487.4,2973.8,-3461.2,-0.0071,,
instrument,GBPUSD.c,232,2655.0,2699.4,-44.4,0.0387,,
instrument,USDCAD.c,62,612.69,576.36,36.33,0.0089,,
instrument,USDJPY.c,288,10315.99,5912.75,4403.24,0.1505,,
instrument,XAGUSD.c,23,30655.51,-4511.01,35166.52,0.4473,,
instrument,XAUUSD.c,35,24782.37,12592.09,12190.28,0.3616,,
top_position,XAGUSD.c #1575,1,35215.8,0.0,35215.8,0.5138,2025-05-21,2026-03-19
top_position,XAUUSD.c #1640,1,15062.14,0.0,15062.14,0.2198,2025-08-21,2026-03-23
top_position,XAUUSD.c #1407,1,10691.54,10691.54,0.0,0.156,2025-01-13,2025-07-31
top_position,USDJPY.c #141,1,5999.08,5999.08,0.0,0.0875,2021-09-24,2022-11-14
top_position,USDJPY.c #1762,1,4605.49,0.0,4605.49,0.0672,2026-03-03,2026-04-29
