matrix,post_hoc,n_configs,n_bars,first_date,last_date,n_bins,n_splits,pbo,verdict
instruments_common,False,21,608,2022-11-03,2025-12-30,8,70,0.2,SAIN
instruments_common,False,21,608,2022-11-03,2025-12-30,10,252,0.3016,SAIN
instruments_common,False,21,608,2022-11-03,2025-12-30,12,924,0.1764,SAIN
instruments_deep,False,5,8298,1992-01-02,2025-12-30,8,70,0.0143,SAIN
instruments_deep,False,5,8298,1992-01-02,2025-12-30,10,252,0.0238,SAIN
instruments_deep,False,5,8298,1992-01-02,2025-12-30,12,924,0.0379,SAIN
weights_sweep,False,11,1822,2019-01-02,2025-12-31,8,70,0.7857,OVERFIT
weights_sweep,False,11,1822,2019-01-02,2025-12-31,10,252,0.8413,OVERFIT
weights_sweep,False,11,1822,2019-01-02,2025-12-31,12,924,0.8236,OVERFIT
weights_sweep,False,11,1822,2019-01-02,2025-12-31,16,12870,0.7537,OVERFIT
weights_trio_only,True,5,1822,2019-01-02,2025-12-31,8,70,0.3429,SAIN
weights_trio_only,True,5,1822,2019-01-02,2025-12-31,10,252,0.2817,SAIN
weights_trio_only,True,5,1822,2019-01-02,2025-12-31,12,924,0.4448,SAIN
weights_trio_only,True,5,1822,2019-01-02,2025-12-31,16,12870,0.2488,SAIN
weights_duo_only,True,5,1822,2019-01-02,2025-12-31,8,70,0.8286,OVERFIT
weights_duo_only,True,5,1822,2019-01-02,2025-12-31,10,252,0.8373,OVERFIT
weights_duo_only,True,5,1822,2019-01-02,2025-12-31,12,924,0.8398,OVERFIT
weights_duo_only,True,5,1822,2019-01-02,2025-12-31,16,12870,0.8124,OVERFIT
