config,composition,n_instruments,w_momentum,w_mr_macro,sharpe,cagr,maxdd,vol,risk_contrib_momentum,corr_momentum_mr,n_bars,first_date,last_date,flag
BASELINE_or_seul,GOLD_ONLY,1,0.1,0.72,1.033679142398419,0.36207929954350737,-0.5848670115789778,0.3639877162913405,0.319980180291321,-0.008376315362092141,1822,2019-01-02,2025-12-31,
GOLD_JPY_XAG_w0.200,GOLD_JPY_XAG,3,0.2,0.62,1.185404943677416,0.4552142868997109,-0.42110980096792916,0.37662507601174533,0.48198911020794966,-0.0027008072699555427,1822,2019-01-02,2025-12-31,
GOLD_JPY_XAG_w0.175,GOLD_JPY_XAG,3,0.175,0.645,1.1596097347863772,0.44239583575265407,-0.4190739397311749,0.37771553736913827,0.4007088308265619,-0.0027008072699555427,1822,2019-01-02,2025-12-31,
GOLD_JPY_XAG_w0.150,GOLD_JPY_XAG,3,0.15,0.67,1.1343199949848126,0.4302766442615107,-0.450004598650106,0.3791606974611437,0.31578754947080023,-0.0027008072699555427,1822,2019-01-02,2025-12-31,
GOLD_JPY_XAG_w0.125,GOLD_JPY_XAG,3,0.125,0.695,1.1132692785819007,0.4221788998118279,-0.48822940235843393,0.3821012233717732,0.23156604812372844,-0.0027008072699555427,1822,2019-01-02,2025-12-31,
GOLD_JPY_w0.200,GOLD_JPY,2,0.2,0.62,1.108191813525141,0.4040590691729924,-0.5692591691389786,0.36820780428374283,0.4374590673363444,-0.006371516162007279,1822,2019-01-02,2025-12-31,
GOLD_JPY_w0.175,GOLD_JPY,2,0.175,0.645,1.0986948100685607,0.3987631463427166,-0.5771093943324968,0.3675945159480809,0.3584424527279777,-0.006371516162007279,1822,2019-01-02,2025-12-31,
GOLD_JPY_w0.150,GOLD_JPY,2,0.15,0.67,1.0975424144308839,0.398261427350304,-0.5847611328948062,0.3674205186581471,0.2782451676105146,-0.006371516162007279,1822,2019-01-02,2025-12-31,
GOLD_JPY_w0.125,GOLD_JPY,2,0.125,0.695,1.0952277844784837,0.3987116777658246,-0.5894082949551815,0.3687294345510204,0.20099980756544333,-0.006371516162007279,1822,2019-01-02,2025-12-31,
GOLD_JPY_w0.100,GOLD_JPY,2,0.1,0.72,1.0926192250028528,0.3995890869359495,-0.5929517649767553,0.3705202357242154,0.13139486522126134,-0.006371516162007279,1822,2019-01-02,2025-12-31,
GOLD_JPY_XAG_w0.100,GOLD_JPY_XAG,3,0.1,0.72,1.0720689322788393,0.40564245902435436,-0.5284198219730045,0.38744205451339603,0.1535303613276153,-0.0027008072699555427,1822,2019-01-02,2025-12-31,
