symbol,source,n_bars,first_date,last_date,sharpe_net,cagr_net,maxdd,trades_total,trades_per_year,avg_price_ret_per_trade,exposure_median,years_in_window,corr_to_gold,verdict
US100,yahoo,9067,1990-01-02,2025-12-31,0.7819286382933516,0.23770457113042753,-0.5605057889399525,209,5.808757030991508,0.022708741926537095,1.8695204055742742,35.98015873015873,0.01204549668512499,PASS
XAU-USD,qc,1824,2019-01-02,2025-12-31,0.7380855728276454,0.24515605078203007,-0.8088254943865969,43,5.940789473684211,0.011722321044463664,1.7210111294218136,7.238095238095238,1.0,PASS
GER40,yahoo,9107,1990-01-02,2025-12-30,0.5345501076908388,0.13329116415401066,-0.6420611458320766,233,6.447348193697157,0.010224394569527624,1.822042677863033,36.138888888888886,0.03273341363591508,PASS
US500,yahoo,9067,1990-01-02,2025-12-31,0.5098362041437144,0.12033831867946465,-0.6223751734009233,219,6.086687989412154,0.008883711483096747,2.503490982303356,35.98015873015873,0.04312730772765592,PASS
USD-JPY,fx_minute,2074,2018-01-02,2025-12-31,0.509456231267127,0.10682421968232347,-0.3977634315602325,50,6.075216972034716,0.005150439305755792,0.0,8.23015873015873,-0.13121278909573345,PASS
JPN225,mt5,973,2022-11-03,2025-12-31,0.44794817910938156,0.10422665253351582,-0.6427555991430532,30,7.76978417266187,-0.0028925893063356987,0.0,3.861111111111111,0.034549974128450296,PASS
EUR-JPY,mt5,986,2022-11-03,2025-12-31,0.4275773586343434,0.08081392113935526,-0.44434149891334074,12,3.0669371196754565,-0.0018370588673030468,4.30644536236938,3.9126984126984126,-0.047917097361320604,PASS
US30,yahoo,8561,1992-01-02,2025-12-31,0.37128271247010736,0.06972389428292525,-0.7814229528929566,256,7.53556827473426,0.005433385936941186,2.5669034449863855,33.97222222222222,0.036978025187974016,PASS
XNG-USD,mt5,965,2022-11-03,2025-12-31,0.298744990679509,0.042742920669660345,-0.38621027080040904,21,5.4839378238341965,0.005322577993863852,0.0,3.8293650793650795,0.05457790312817948,PASS
XTI-USD,yahoo,6365,2000-08-23,2025-12-31,0.21631568755192582,0.012315583712903644,-0.7184509639439605,141,5.582403770620581,0.00817951613467878,0.0,25.25793650793651,0.10602533083699045,PASS
XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.20079920039375068,-0.0078117980016109145,-0.902684207544711,175,6.933962264150944,0.0017775431814374767,0.0,25.238095238095237,0.46914522626401306,PASS
GBP-JPY,mt5,1595,2020-11-21,2025-12-31,0.07912853492213218,-0.025975143373505594,-0.5484996096610479,37,5.84576802507837,-0.00023678812396699412,4.025014069297123,6.329365079365079,-0.03815499889118006,PASS
XBR-USD,yahoo,4585,2007-07-30,2025-12-31,0.06628681809658325,-0.036467851195352896,-0.7774509617513363,121,6.650381679389313,0.0020038175085523684,0.0,18.194444444444443,0.09892219461069848,PASS
UK100,yahoo,9093,1990-01-02,2025-12-31,0.06525559267401021,-0.035670353742889294,-0.9838827397970806,239,6.623556581986143,0.001608531647291864,2.4092240945966523,36.083333333333336,0.003659031206048571,PASS
EUR-USD,fx_minute,2074,2018-01-02,2025-12-31,-0.042121306516324265,-0.036123589392904276,-0.6022593104405354,39,4.738669238187079,0.000303092501129886,0.0,8.23015873015873,0.311049025178582,KILL_NEG_EDGE
GBP-USD,fx_minute,2074,2018-01-02,2025-12-31,-0.06857853436338224,-0.05142324671768783,-0.5327193580071539,57,6.925747348119576,-0.0001487506539820027,0.0,8.23015873015873,0.28841902585816864,KILL_NEG_EDGE
EUR-GBP,mt5,986,2022-11-03,2025-12-31,-0.17306006778869173,-0.03623602200457832,-0.29167873217501195,20,5.1115618661257605,-0.0002091246233895838,0.0,3.9126984126984126,-0.0051487743960707735,KILL_NEG_EDGE
USD-CAD,fx_minute,2074,2018-01-02,2025-12-31,-0.2399905995304841,-0.10014949040638044,-0.6894995696749904,68,8.262295081967213,-0.0009983816414552672,0.0,8.23015873015873,-0.09438479069730447,KILL_NEG_EDGE
USD-CHF,mt5,1595,2020-11-21,2025-12-31,-0.31507172696974617,-0.09457111709858157,-0.5287066383533761,32,5.055799373040752,-0.0018951862222024163,0.0,6.329365079365079,-0.07676217048889387,KILL_NEG_EDGE
AUD-USD,mt5,1595,2020-11-21,2025-12-31,-0.6782381440318366,-0.151565740581025,-0.7008174861569494,34,5.3717868338558,-0.004860979862988061,0.0,6.329365079365079,0.21158132410140362,KILL_NEG_EDGE
NZD-USD,mt5,1595,2020-11-21,2025-12-31,-1.0523935303495555,-0.2124795827747632,-0.7824587356056567,29,4.581818181818182,-0.007040524768291431,0.0,6.329365079365079,0.20411825354223892,KILL_NEG_EDGE
