symbol,lookbacks,target_vol,max_leverage,sharpe,cap_share,is_production,n_bars,first_date,last_date,flag
XAU-USD,30/50/100/200,0.4,4.8,1.130226,0.0675,False,1824,2019-01-02,2025-12-31,PLATEAU
XAU-USD,30/50/100/200,0.55,6.6,1.149355,0.0675,False,1824,2019-01-02,2025-12-31,PLATEAU
XAU-USD,30/50/100/200,0.7,8.4,1.157652,0.0675,False,1824,2019-01-02,2025-12-31,PLATEAU
XAU-USD,40/60/120/250,0.4,4.8,0.944712,0.0675,False,1824,2019-01-02,2025-12-31,PLATEAU
XAU-USD,40/60/120/250,0.55,6.6,0.956441,0.0675,True,1824,2019-01-02,2025-12-31,PLATEAU
XAU-USD,40/60/120/250,0.7,8.4,0.959708,0.0675,False,1824,2019-01-02,2025-12-31,PLATEAU
XAU-USD,50/80/150/300,0.4,4.8,0.84482,0.0675,False,1824,2019-01-02,2025-12-31,PLATEAU
XAU-USD,50/80/150/300,0.55,6.6,0.774426,0.0675,False,1824,2019-01-02,2025-12-31,PLATEAU
XAU-USD,50/80/150/300,0.7,8.4,0.700873,0.0675,False,1824,2019-01-02,2025-12-31,PLATEAU
USD-JPY,30/50/100/200,0.4,4.8,0.924896,0.5716,False,1594,2020-11-21,2025-12-30,PLATEAU
USD-JPY,30/50/100/200,0.55,6.6,0.940081,0.5716,False,1594,2020-11-21,2025-12-30,PLATEAU
USD-JPY,30/50/100/200,0.7,8.4,0.950849,0.5716,False,1594,2020-11-21,2025-12-30,PLATEAU
USD-JPY,40/60/120/250,0.4,4.8,0.785473,0.5716,False,1594,2020-11-21,2025-12-30,PLATEAU
USD-JPY,40/60/120/250,0.55,6.6,0.771147,0.5716,True,1594,2020-11-21,2025-12-30,PLATEAU
USD-JPY,40/60/120/250,0.7,8.4,0.755164,0.5716,False,1594,2020-11-21,2025-12-30,PLATEAU
USD-JPY,50/80/150/300,0.4,4.8,0.807592,0.5716,False,1594,2020-11-21,2025-12-30,PLATEAU
USD-JPY,50/80/150/300,0.55,6.6,0.815616,0.5716,False,1594,2020-11-21,2025-12-30,PLATEAU
USD-JPY,50/80/150/300,0.7,8.4,0.818347,0.5716,False,1594,2020-11-21,2025-12-30,PLATEAU
XAG-USD,30/50/100/200,0.4,4.8,0.419822,0.0,False,6360,2000-08-30,2025-12-31,PLATEAU
XAG-USD,30/50/100/200,0.55,6.6,0.426766,0.0,False,6360,2000-08-30,2025-12-31,PLATEAU
XAG-USD,30/50/100/200,0.7,8.4,0.429487,0.0,False,6360,2000-08-30,2025-12-31,PLATEAU
XAG-USD,40/60/120/250,0.4,4.8,0.315525,0.0,False,6360,2000-08-30,2025-12-31,PLATEAU
XAG-USD,40/60/120/250,0.55,6.6,0.309677,0.0,True,6360,2000-08-30,2025-12-31,PLATEAU
XAG-USD,40/60/120/250,0.7,8.4,0.303191,0.0,False,6360,2000-08-30,2025-12-31,PLATEAU
XAG-USD,50/80/150/300,0.4,4.8,0.337724,0.0,False,6360,2000-08-30,2025-12-31,PLATEAU
XAG-USD,50/80/150/300,0.55,6.6,0.333987,0.0,False,6360,2000-08-30,2025-12-31,PLATEAU
XAG-USD,50/80/150/300,0.7,8.4,0.328612,0.0,False,6360,2000-08-30,2025-12-31,PLATEAU
US100,30/50/100/200,0.4,4.8,0.70221,0.0249,False,9066,1990-01-02,2025-12-30,PIC ⚠️
US100,30/50/100/200,0.55,6.6,0.693012,0.0249,False,9066,1990-01-02,2025-12-30,PIC ⚠️
US100,30/50/100/200,0.7,8.4,0.678892,0.0249,False,9066,1990-01-02,2025-12-30,PIC ⚠️
US100,40/60/120/250,0.4,4.8,0.976246,0.0249,False,9066,1990-01-02,2025-12-30,PIC ⚠️
US100,40/60/120/250,0.55,6.6,1.00451,0.0249,True,9066,1990-01-02,2025-12-30,PIC ⚠️
US100,40/60/120/250,0.7,8.4,1.026715,0.0249,False,9066,1990-01-02,2025-12-30,PIC ⚠️
US100,50/80/150/300,0.4,4.8,0.866422,0.0249,False,9066,1990-01-02,2025-12-30,PIC ⚠️
US100,50/80/150/300,0.55,6.6,0.896704,0.0249,False,9066,1990-01-02,2025-12-30,PIC ⚠️
US100,50/80/150/300,0.7,8.4,0.919736,0.0249,False,9066,1990-01-02,2025-12-30,PIC ⚠️
