index,config,z,a_min,k_s,n,expectancy_r,profit_factor,pnl,win_rate,sharpe_net,max_drawdown,trades_per_scenario
"[0, 0, 0]",z0.5_a0.1_k0.75,0.5,0.1,0.75,1726,-0.15706844883291962,0.7384135976435388,-6588.770038601082,0.3111239860950174,-1.7998204977693075,-0.674145262697708,"{""REV_SHORT"": 576, ""REV_LONG"": 576, ""BREAK_LONG"": 313, ""BREAK_SHORT"": 261}"
"[0, 0, 1]",z0.5_a0.1_k1,0.5,0.1,1.0,1689,-0.1605743392561034,0.7259378051122727,-6584.9368507780255,0.31497927767910006,-1.8829003308622876,-0.6717779173485613,"{""REV_LONG"": 575, ""REV_SHORT"": 574, ""BREAK_LONG"": 292, ""BREAK_SHORT"": 248}"
"[0, 0, 2]",z0.5_a0.1_k1.5,0.5,0.1,1.5,1627,-0.1635412910599645,0.7232430021957994,-6394.799497699907,0.32206515058389673,-1.893756325347187,-0.6511564612527738,"{""REV_LONG"": 578, ""REV_SHORT"": 571, ""BREAK_LONG"": 254, ""BREAK_SHORT"": 224}"
"[0, 1, 0]",z0.5_a0.2_k0.75,0.5,0.2,0.75,1447,-0.16275487261636268,0.7464915405743737,-5888.078993534387,0.308914996544575,-1.6149433482037516,-0.5990135697060497,"{""REV_LONG"": 469, ""REV_SHORT"": 459, ""BREAK_LONG"": 281, ""BREAK_SHORT"": 238}"
"[0, 1, 1]",z0.5_a0.2_k1,0.5,0.2,1.0,1414,-0.16784120461322521,0.7331169891463436,-5875.040320647252,0.3125884016973126,-1.672857907750108,-0.5949835272756019,"{""REV_LONG"": 468, ""REV_SHORT"": 459, ""BREAK_LONG"": 260, ""BREAK_SHORT"": 227}"
"[0, 1, 2]",z0.5_a0.2_k1.5,0.5,0.2,1.5,1359,-0.16559410861976076,0.7348547101328494,-5613.428431736152,0.32303164091243564,-1.6541284215441974,-0.5692516121424468,"{""REV_LONG"": 468, ""REV_SHORT"": 457, ""BREAK_LONG"": 226, ""BREAK_SHORT"": 208}"
"[0, 2, 0]",z0.5_a0.3_k0.75,0.5,0.3,0.75,1144,-0.12012377305160378,0.813429382635211,-4135.292144296024,0.3269230769230769,-1.0318033293945021,-0.44788172563415984,"{""REV_SHORT"": 340, ""REV_LONG"": 340, ""BREAK_LONG"": 256, ""BREAK_SHORT"": 208}"
"[0, 2, 1]",z0.5_a0.3_k1,0.5,0.3,1.0,1117,-0.12496105052376963,0.8021573907570305,-4159.474713850413,0.3321396598030439,-1.0870526984546462,-0.4519046922500354,"{""REV_SHORT"": 340, ""REV_LONG"": 339, ""BREAK_LONG"": 239, ""BREAK_SHORT"": 199}"
"[0, 2, 2]",z0.5_a0.3_k1.5,0.5,0.3,1.5,1074,-0.1158676078297609,0.8114371875771583,-3738.7902013510593,0.3463687150837989,-1.0089117608760045,-0.40674070948410523,"{""REV_SHORT"": 340, ""REV_LONG"": 340, ""BREAK_LONG"": 210, ""BREAK_SHORT"": 184}"
"[1, 0, 0]",z1_a0.1_k0.75,1.0,0.1,0.75,2110,-0.13639230566592309,0.7720056435775864,-6972.354749073991,0.3104265402843602,-1.7928420965295495,-0.7099563672215892,"{""REV_LONG"": 665, ""REV_SHORT"": 663, ""BREAK_LONG"": 445, ""BREAK_SHORT"": 337}"
