index,config,z,a_min,k_s,n,expectancy_r,profit_factor,pnl,win_rate,sharpe_net,max_drawdown,trades_per_scenario
"[0, 0, 0]",z0.5_a0.1_k0.75,0.5,0.1,0.75,1678,-0.19037447152142856,0.6940179160873775,-6864.392622549007,0.29499404052443384,-1.8837919172558772,-0.6988896478931873,"{""REV_SHORT"": 590, ""REV_LONG"": 531, ""BREAK_LONG"": 315, ""BREAK_SHORT"": 242}"
"[0, 0, 1]",z0.5_a0.1_k1,0.5,0.1,1.0,1655,-0.18894628847949546,0.6885870145219668,-6723.415788794777,0.3027190332326284,-1.905464771832591,-0.6833560617860931,"{""REV_SHORT"": 592, ""REV_LONG"": 531, ""BREAK_LONG"": 299, ""BREAK_SHORT"": 233}"
"[0, 0, 2]",z0.5_a0.1_k1.5,0.5,0.1,1.5,1607,-0.17299386670901434,0.699232811094591,-6406.277731408456,0.31985065339141255,-1.8493092964962987,-0.6512160153682125,"{""REV_SHORT"": 594, ""REV_LONG"": 530, ""BREAK_LONG"": 273, ""BREAK_SHORT"": 210}"
"[0, 1, 0]",z0.5_a0.2_k0.75,0.5,0.2,0.75,1372,-0.16689331464083318,0.7513351747729968,-5373.832998372557,0.30029154518950435,-1.3444959262409257,-0.5657777499302993,"{""REV_SHORT"": 447, ""REV_LONG"": 421, ""BREAK_LONG"": 285, ""BREAK_SHORT"": 219}"
"[0, 1, 1]",z0.5_a0.2_k1,0.5,0.2,1.0,1351,-0.16569477393312718,0.745033637246823,-5282.113030831979,0.30866025166543304,-1.3808521710979909,-0.5515862257064836,"{""REV_SHORT"": 449, ""REV_LONG"": 419, ""BREAK_LONG"": 272, ""BREAK_SHORT"": 211}"
"[0, 1, 2]",z0.5_a0.2_k1.5,0.5,0.2,1.5,1299,-0.1533237724153047,0.758566376556571,-4921.320591856455,0.325635103926097,-1.3307915923148996,-0.5200231150163583,"{""REV_SHORT"": 447, ""REV_LONG"": 417, ""BREAK_LONG"": 247, ""BREAK_SHORT"": 188}"
"[0, 2, 0]",z0.5_a0.3_k0.75,0.5,0.3,0.75,1093,-0.1797410356865041,0.7431762575865268,-4726.721402671676,0.29551692589204026,-1.2507670821029502,-0.493312323949053,"{""REV_SHORT"": 338, ""REV_LONG"": 301, ""BREAK_LONG"": 258, ""BREAK_SHORT"": 196}"
"[0, 2, 1]",z0.5_a0.3_k1,0.5,0.3,1.0,1070,-0.17399090258143948,0.746271672050425,-4473.026058400802,0.305607476635514,-1.225516341633559,-0.4773133680684918,"{""REV_SHORT"": 340, ""REV_LONG"": 299, ""BREAK_LONG"": 243, ""BREAK_SHORT"": 188}"
"[0, 2, 2]",z0.5_a0.3_k1.5,0.5,0.3,1.5,1020,-0.1596351179824367,0.759962240149223,-4119.760830499615,0.32254901960784316,-1.1775539409150295,-0.43980188947619303,"{""REV_SHORT"": 338, ""REV_LONG"": 298, ""BREAK_LONG"": 218, ""BREAK_SHORT"": 166}"
"[1, 0, 0]",z1_a0.1_k0.75,1.0,0.1,0.75,2058,-0.16013902106041972,0.7396688239593306,-6950.312494831555,0.30466472303207,-1.7351788083707733,-0.7028487740050628,"{""REV_SHORT"": 692, ""REV_LONG"": 632, ""BREAK_LONG"": 418, ""BREAK_SHORT"": 316}"
"[1, 0, 1]",z1_a0.1_k1,1.0,0.1,1.0,2017,-0.16339445955595813,0.7232610268768401,-6952.443094631793,0.3108577094695092,-1.8553070084359593,-0.7017182790306475,"{""REV_SHORT"": 696, ""REV_LONG"": 630, ""BREAK_LONG"": 393, ""BREAK_SHORT"": 298}"
"[1, 0, 2]",z1_a0.1_k1.5,1.0,0.1,1.5,1948,-0.1637868413704111,0.7331225335945317,-6728.565349593098,0.32340862422997946,-1.8606442689397233,-0.6799090804913679,"{""REV_SHORT"": 692, ""REV_LONG"": 635, ""BREAK_LONG"": 351, ""BREAK_SHORT"": 270}"
"[1, 1, 0]",z1_a0.2_k0.75,1.0,0.2,0.75,1760,-0.16031372265192212,0.7476187015354068,-6353.424968654319,0.3034090909090909,-1.6073514152181752,-0.649633861605833,"{""REV_SHORT"": 550, ""REV_LONG"": 513, ""BREAK_LONG"": 400, ""BREAK_SHORT"": 297}"
"[1, 1, 1]",z1_a0.2_k1,1.0,0.2,1.0,1723,-0.16018528928042608,0.7369067965330649,-6258.136990833048,0.3116656993615786,-1.6606853901686005,-0.6365918898510511,"{""REV_SHORT"": 553, ""REV_LONG"": 513, ""BREAK_LONG"": 377, ""BREAK_SHORT"": 280}"
"[1, 1, 2]",z1_a0.2_k1.5,1.0,0.2,1.5,1653,-0.15554634948144838,0.7516240622251724,-5892.207789575521,0.32728372655777377,-1.5978737198662711,-0.6140639521621227,"{""REV_SHORT"": 551, ""REV_LONG"": 511, ""BREAK_LONG"": 339, ""BREAK_SHORT"": 252}"
